state,population
AK,19791
AL,974353
AR,247841
AZ,577284
CA,4914712
CO,802419
CT,24974
DC,69842
DE,9011
FL,3970790
GA,3382744
HI,339429
IA,297262
ID,114901
IL,1047956
IN,1014603
KS,338779
KY,784376
LA,407793
MA,36369
MD,127378
ME,-84048
MI,560540
MN,937970
MO,1050229
MS,1151598
MT,85536
NC,2359798
ND,73317
NE,180640
NH,42955
NJ,652894
NM,110375
NV,693220
NY,1419192
OH,1314968
OK,506233
OR,743461
PA,766852
RI,-4651
SC,932895
SD,80261
TN,1360527
TX,5198591
UT,519346
VA,403850
VT,36112
WA,1155314
WI,489456
WV,15668
WY,24833
