,HoldingCompanyName,HocoNum
0,Stayton Cooperative Telephone Company,131259
1,Webformix Company,290118
2,"Salina Spavinaw Telephone Co., Inc.",131152
3,Adams CATV Inc.,190013
4,Communications Access Cooperative Holding Enterprise,210020
5,"Moultrie MultiCorp, Inc.",130859
6,"Hanson Communications, Inc.",150266
7,"C&W Enterprises, Inc.",210092
8,Service Electric Cable TV Inc.,140080
9,"First American Holdings, LLC",130315
10,"B2X Online, Inc.",290014
11,"Boycom Cablevision, Inc./Partel Broadband Telecommunications, Inc.",190059
12,Google Fiber Inc.,240041
13,Geetingsville Telephone Company Inc.,130532
14,Axiom Technologies,140012
15,Merrill Information Systems,130808
16,WERCS Communications Inc.,220073
17,SouthEast WiMAX,230038
18,"Air Link Rural Broadband, LLC",280004
19,"Fast-Air Internet, Inc.",240035
20,Rural Enterprises Inc.,280051
21,Custer Telephone Cooperative Inc.,130378
22,LeapStream,220036
23,"Pencor Services, Inc.",131026
24,BEK Communications Cooperative,130108
25,"Smartcom Telephone, LLC",131206
26,"SRT Communications, Inc.",131246
27,"First American Holdings, Inc.",130315
28,"Wireless Data Net, LLC",250085
29,Spry Wireless Communications Inc.,260051
30,Master Vision Cable,230026
31,MTCO Corporation,130872
32,"Townes Telecommunications, Inc.",131362
33,City of Chanute Kansas,230006
34,"Intelliwave, LLC",150270
35,"Sandhill Telephone Cooperative, Inc.",131158
36,Ben Lomand,130112
37,"Fulair, LLC",190163
38,"Eastex Telephone Cooperative, Inc.",130440
39,West Iowa Telephone Company,131461
40,"Intelligent Computing Solutions, Inc.",290055
41,"Cap Rock Telephone Cooperative, Inc.",130199
42,Northern Network Concepts,300111
43,McClure Telephone Company,130796
44,Sycamore Telephone Company,131290
45,Winnebago Cooperative Telephone Association,131494
46,Canadian Valley Telephone Company,130195
47,City of Wadsworth,130282
48,"Merrimac Communications, Ltd.",130809
49,"Family Communications, LLC",300141
50,Nortex Communications,130925
51,Town of Mountain Village,130868
52,"Telecom Cable, LLC",190357
53,"Family Communications, LLC",190051
54,"Beggs Telephone Company, Inc.",130107
55,Canby Telephone Association,130196
56,InvisiMax Inc.,150271
57,"Nedelco, Incorporated",130887
58,"Softcom Internet Communications, Inc.",310065
59,The Nebraska Central Telephone Co.,131340
60,Midwest Mobile Radio,130833
61,"Schurz Communications, Inc.",131167
62,Industry Telephone Company,130645
63,"MGW Communications, Inc.",130814
64,"Info Link Wireless, Inc.",270052
65,Hallettsville Communications,210040
66,Imagine Networks,210042
67,EastSierra.Net,280075
68,"Medicine Wheel Website Design, Inc.",270062
69,"USFon, Inc.",230050
70,International Power Systems LLC,300069
71,"Kennebec Telephone Company, Inc.",130691
72,Pulaski Electric System,190304
73,3 Rooms Communications LLC,210001
74,"Diverse Datum, Inc.",210028
75,Spiral Communications,240089
76,"Alaska Power & Telephone, Inc.",130029
77,Jump Wireless LLC,300076
78,"LaHarpe Telephone Company, Inc.",310089
79,B3,250020
80,Gonthier Inc.,130553
81,Wireless Hometown Georgia,250086
82,"Estes Valley Networks, Inc.",150260
83,"Standard Tobacco Company, Inc.",131249
84,"Signal, Inc.",240086
85,Rio Verde Wireless,290083
86,West River Telecommunications Cooperative,131465
87,"Northern Neck Wireless Internet Services, LLC",230034
88,"Myakka Technologies, Inc.",130880
89,Green Hills Telephone Corporation,130570
90,"Myakka Communications, Inc.",130880
91,Central Oklahoma Telephone Co.,130226
92,Frank Howard TV Cable Inc.,240038
93,Rancho Murieta Association,230073
94,"BlueRiverNetworks, Inc.",310014
95,AireBeam,250009
96,"Eastern Shore Communications, LLC",280020
97,Catalina Broadband Solutions LLC,190075
98,NexGen Wireless LLC,300106
99,Mount Horeb Telephone Company,130862
100,Rural Farm Networks LLC,250102
101,Farmers Mutual Telephone Cooperative,130485
102,"North Central Telephone Cooperative, Inc.",130929
103,City of Burbank/Burbank Water and Power,260007
104,Yadkin Valley Telephone Membership Corporation,131516
105,Chickasaw Holding Company,130245
106,Empire Telephone Corporation/North Penn Telephone Company,130455
107,"Computer Sales & Services, Inc.",130331
108,"Red River Cable TV, Inc.",240080
109,Gainesville Regional Utilities,200022
110,"Baldwin Nashville Telephone Company, Inc.",130092
111,Bergen Telephone Company,130119
112,Sharon Telephone Company (IL & WI),131179
113,Price County Telephone Company,131072
114,Atlantic Telephone Membership Corporation,130082
115,"TelAtlantic, Inc.",131303
116,"Laurel Highland Total Communications, Inc.",130721
117,LICT Corporation,160127
118,"Mega Broadband, Inc.",131376
119,"Valley Telecommunications Cooperative Association, Inc.",131409
120,"South Central Utah Telephone Association, Inc.",131219
121,Christensen Communications Company,130250
122,City of Barnesville Municipal Telephone,130270
123,Clear Lake Telephone Company,130291
124,"Coon Valley Farmers Telephone Company, Inc.",130345
125,"Upward Access, LLC",150330
126,"Burke's Garden Telephone Co., Inc.",130178
127,City of Faith Municipal Telephone Company,130274
128,Heart of Iowa Communications Cooperative,130598
129,Beresford Municipal Telephone Company,130118
130,Dryad Communications,290041
131,Broken Bow TV Cable,130168
132,Upsala Cooperative Telephone Association,131401
133,"DeKalb Telephone Cooperative, Inc.",130396
134,Alta Municipal Utilities,130046
135,"Hillsboro Telephone Company, Inc.",130613
136,"Cable One, Inc.",130183
137,Lismore Cooperative Telephone Company,130748
138,"Manawa Telecommunications, Inc.",130776
139,Minford Telephone Company,130847
140,Minburn Telephone Company,130845
141,"Arkansas Telephone Company, Inc.",130069
142,Blue Mountain TV Cable Company,180006
143,"Thames Valley Communications, Inc.",130576
144,"Computer Techniques, Inc.",290031
145,Rockwell Cooperative Telephone Association,131127
146,"Colorado Valley Telephone Cooperative, Inc.",130311
147,Carolina Mountain/Country Cablevision,130202
148,Village of Woodsfield,240101
149,"Stanton Telecom, Inc.",131250
150,"Karban TV Systems, Inc.",240051
151,"Clay County Rural Telephone Cooperative, Inc.",130288
152,In The Stix Broadband LLC,290052
153,"Newport Telephone Company, Inc.",130912
154,Hilliary Communications,190233
155,Lenox Municipal Utilities,190223
156,"May, Bott et al.",130986
157,"Interstate Telecommunications Cooperative, Inc.",130662
158,Morris Broadband LLC,200029
159,Beaver Valley Cable Company,190046
160,"GMN Tri-County CAC, Inc.",170047
161,Colton Telephone Company,130312
162,Red River Rural Telephone Association,131097
163,Northeast Missouri Rural Telephone Company,130940
164,City of Cairo,130272
165,"Five Area Telephone Cooperative, Inc.",130502
166,"First Step Internet, LLC",130500
167,Kern Valley Wireless,290128
168,"Hardy Telecommunications, Inc.",130588
169,"South Slope Cooperative Telephone Company, Inc.",131222
170,"Northeast Communications of Wisconsin, Inc.",130937
171,Tele-Media Company,170005
172,City of Opp,240020
173,The Peetz Cooperative Telephone Company,131021
174,City of Camilla,150235
175,Huxley Communications Cooperative,130630
176,CND Acquisition Corp.,240022
177,West Central Telephone Assn.,131460
178,Bixby Telephone Company,130130
179,"Tivcorp, Inc.",150325
180,"Citizens Telephone Company of Higginsville, Missouri",130263
181,Noize Communications LLC,270065
182,"Progressive Rural Telephone Co-Op., Inc.",131073
183,"Community Digital Wireless, LLC",130324
184,Consolidated Telcom,130337
185,Quitman Cable Inc.,190306
186,The Hancock Telephone Company,131337
187,"Palmetto Rural Telephone Cooperative, Inc.",131005
188,"Hill Country Telephone Cooperative, Inc.",130612
189,Pattersonville Telephone Company (NY),131013
190,Resonance Broadband,250099
191,"UniTek, Inc.",131397
192,Farber Telephone Company,140032
193,"Craigville Telephone Company, Inc.",130363
194,"Great Plains Communications, Inc.",130569
195,PTI Pacifica Inc.,220001
196,Fenton Cooperative Telephone Company,130495
