HocoNum,TechType,HighSpeed,population
130002,DSL,0,31408
130002,FTTH,0,11428
130002,Other,0,12895
130005,DSL,0,93
130008,DSL,0,88609
130008,FTTH,0,15155
130008,Other,0,22543
130010,DSL,0,60100
130010,Other,0,86775
130011,FTTH,0,315
130012,DSL,0,23688
130012,FTTH,0,4873
130012,FTTH,1,20286
130012,Other,0,161572
130017,DSL,0,347
130018,DSL,0,48291
130019,FTTH,1,102445
130019,Other,0,865027
130028,DSL,0,288704
130029,DSL,0,12790
130029,Other,0,9699
130031,FTTH,1,9502
130032,DSL,0,9853
130032,FTTH,0,3623
130034,DOCSIS,0,283
130034,DSL,0,5129
130034,FTTH,0,29626
130034,Other,0,257
130035,DOCSIS,0,8728
130035,FTTH,0,8728
130036,DSL,0,3514
130036,FTTH,0,2185
130037,DOCSIS,0,12576
130037,DSL,0,14834
130037,FTTH,0,13812
130037,Other,0,14429
130039,DOCSIS,0,41347
130039,FTTH,0,32098
130040,FTTH,0,29952
130043,FTTH,0,728
130044,DOCSIS,0,29151
130044,DSL,0,18327
130045,DSL,0,7001
130045,FTTH,0,5229
130045,Other,0,1991
130046,DOCSIS,0,1916
130057,DOCSIS,0,21583
130057,DSL,0,21251
130057,FTTH,0,756
130058,DSL,0,11896
130058,FTTH,0,10283
130059,Other,0,452737
130061,Other,0,6664
130062,Other,0,394406
130065,DOCSIS,0,771
130065,DSL,0,4692
130065,Other,0,76387
130066,DSL,0,663
130066,FTTH,0,4394
130067,DSL,0,8139
130068,DSL,0,30689
130069,DSL,0,14898
130070,DSL,0,3339
130070,FTTH,0,8227
130071,DOCSIS,0,924332
130071,DSL,0,50068
130073,DSL,0,3381
130073,FTTH,0,3381
130074,DOCSIS,0,57881
130074,DSL,0,112498
130074,FTTH,1,26779
130074,Other,0,84171
130077,DSL,0,121692527
130077,DSL,1,625
130077,FTTH,0,1527473
130077,FTTH,1,315286
130077,Other,0,386
130079,DOCSIS,0,28127
130079,DOCSIS,1,4789532
130079,DSL,0,69240
130079,FTTH,0,14758
130079,FTTH,1,2617620
130081,DSL,0,74077
130081,FTTH,0,5307
130081,FTTH,1,80
130081,Other,0,109534
