HocoNum,TechType,HighSpeed,population,state
130068,DSL,0,23002,AL
130068,FTTH,0,1116,AL
130077,DSL,0,3002896,AL
130077,FTTH,0,33131,AL
130077,FTTH,1,739,AL
130127,DSL,0,504,AL
130137,DOCSIS,0,3099,AL
130183,DOCSIS,1,110018,AL
130210,DSL,0,2615,AL
130228,DSL,0,671450,AL
130228,FTTH,0,11373,AL
130235,DOCSIS,0,2161828,AL
130254,DSL,0,463,AL
130258,DSL,0,50166,AL
130317,DOCSIS,0,13,AL
130317,DOCSIS,1,812862,AL
130471,DSL,0,4449,AL
130587,DSL,0,595257,AL
130587,FTTH,0,595257,AL
130587,Other,0,595257,AL
130597,DSL,0,26684,AL
130804,DOCSIS,1,473162,AL
130844,DSL,0,16157,AL
130851,DSL,0,3863,AL
130851,FTTH,0,681,AL
130861,DSL,0,5459,AL
130861,FTTH,0,308,AL
130902,DSL,0,7487,AL
130902,FTTH,0,5415,AL
131038,DOCSIS,0,5590,AL
131038,DSL,0,6429,AL
131038,FTTH,0,613,AL
131038,Other,0,137,AL
131086,DSL,0,3216,AL
131086,FTTH,0,2150,AL
131302,DSL,0,22,AL
131310,DSL,0,56547,AL
131310,FTTH,0,888,AL
131311,DSL,0,15437,AL
131311,FTTH,0,1115,AL
131404,DOCSIS,0,38646,AL
131413,DSL,0,77613,AL
131413,FTTH,0,1360,AL
131480,DOCSIS,0,624373,AL
131480,DSL,0,29303,AL
131480,FTTH,0,538066,AL
150221,DOCSIS,0,592,AL
150292,DOCSIS,0,10983,AL
150296,DOCSIS,0,16261,AL
150296,DSL,0,41118,AL
150296,FTTH,0,9358,AL
160157,DOCSIS,0,11433,AL
170086,DOCSIS,0,24105,AL
190308,DOCSIS,0,83932,AL
190341,Other,0,13081,AL
190367,FTTH,0,2153,AL
190367,Other,0,38382,AL
190380,DOCSIS,0,2897,AL
190380,DSL,0,11821,AL
190380,FTTH,0,6742,AL
190380,FTTH,1,105110,AL
230029,Other,0,19884,AL
230038,Other,0,2,AL
240085,DOCSIS,0,14570,AL
240085,FTTH,0,14570,AL
250020,Other,0,10682,AL
250035,Other,0,1255,AL
250035,Other,1,797,AL
250087,Other,0,1242,AL
260000,DSL,0,49325,AL
260000,FTTH,0,19315,AL
260000,FTTH,1,61498,AL
260000,Other,0,749,AL
290028,FTTH,1,22729,AL
300074,Other,0,0,AL
310035,Other,0,325,AL
320042,Other,0,45498,AL
320094,Other,0,2928,AL
320095,Other,0,5088,AL
320121,DSL,0,17745,AL
330084,Other,0,132449,AL
340087,Other,0,129,AL
130011,FTTH,0,335,AK
130028,DSL,0,294550,AK
130029,DSL,0,12790,AK
130029,Other,0,9699,AK
130035,DOCSIS,0,0,AK
130035,FTTH,1,0,AK
130067,DSL,0,8139,AK
130077,Other,0,386,AK
130160,DSL,0,1739,AK
130275,DSL,0,13436,AK
130275,FTTH,0,13323,AK
130275,Other,0,28,AK
130349,DSL,0,6569,AK
130352,DSL,0,2109,AK
130534,DOCSIS,0,51335,AK
130534,DOCSIS,1,502910,AK
130534,DSL,0,12133,AK
130534,Other,0,26579,AK
130791,DSL,0,123807,AK
130791,FTTH,1,9236,AK
130964,DOCSIS,0,2034,AK
130964,DSL,0,2381,AK
131226,DOCSIS,0,4376,AK
131226,DSL,0,19242,AK
140084,Other,0,12283,AK
150229,DSL,0,1539,AK
190019,Other,0,73799,AK
190281,DSL,0,3566,AK
260068,Other,0,278,AK
260068,Other,1,115,AK
300020,Other,0,189294,AK
330010,DSL,0,423,AK
330010,DSL,1,2,AK
330010,FTTH,0,423,AK
330010,FTTH,1,2,AK
330010,Other,0,423,AK
330010,Other,1,2,AK
330083,Other,0,510,AK
340079,Other,0,186,AK
130081,Other,0,95360,AZ
130103,DOCSIS,0,1495,AZ
130103,Other,0,59661,AZ
130132,DSL,0,83,AZ
130183,DOCSIS,0,6987,AZ
130183,DOCSIS,1,237887,AZ
130206,DSL,0,47,AZ
130206,FTTH,0,2984,AZ
130228,DSL,0,5355139,AZ
130228,FTTH,0,38410,AZ
130228,FTTH,1,107393,AZ
130235,DOCSIS,0,160236,AZ
130254,DSL,0,123,AZ
130258,DSL,0,310450,AZ
130317,DOCSIS,1,323064,AZ
130360,DOCSIS,0,22706,AZ
130360,DOCSIS,1,4181658,AZ
130360,FTTH,1,460654,AZ
130370,DOCSIS,0,13590,AZ
130370,DOCSIS,1,268256,AZ
130509,FTTH,0,5365,AZ
130542,DSL,0,7324,AZ
130627,DSL,0,2171256,AZ
130804,DOCSIS,0,3228,AZ
130804,DOCSIS,1,145394,AZ
130831,DSL,0,5709,AZ
130831,FTTH,0,4056,AZ
130986,DSL,0,64,AZ
130986,FTTH,0,64,AZ
131016,Other,0,1443916,AZ
131057,DSL,0,9601,AZ
131057,FTTH,0,461,AZ
131057,Other,0,476,AZ
131148,DSL,0,3603,AZ
131148,FTTH,0,3225,AZ
131191,Other,0,1010864,AZ
131208,Other,0,11316,AZ
131219,DSL,0,1863,AZ
131219,Other,0,498,AZ
131310,DOCSIS,0,266,AZ
131310,DSL,0,8519,AZ
131357,DSL,0,2138,AZ
131357,FTTH,0,3386,AZ
131411,DSL,0,14560,AZ
131411,FTTH,1,15826,AZ
131411,Other,0,1312,AZ
131470,DOCSIS,0,24236,AZ
140043,DSL,0,4986,AZ
150200,DSL,0,22,AZ
150200,FTTH,0,1360,AZ
150200,FTTH,1,7902,AZ
150295,DOCSIS,0,43018,AZ
170054,Other,0,1381,AZ
170098,DSL,0,113,AZ
190008,DSL,0,824,AZ
190025,Other,0,26,AZ
190155,Other,0,774,AZ
190192,DSL,0,23,AZ
190428,DSL,0,8350,AZ
190428,FTTH,0,5097,AZ
220013,Other,0,17283,AZ
230021,Other,0,114,AZ
240009,Other,0,90688,AZ
250009,Other,0,297029,AZ
260050,Other,0,116550,AZ
270101,Other,0,53487,AZ
270115,Other,0,798316,AZ
280026,DOCSIS,0,6178,AZ
280026,Other,0,6443,AZ
280035,Other,0,28941,AZ
290057,Other,0,3676,AZ
290083,Other,0,5975,AZ
300019,Other,0,37995,AZ
300063,Other,0,3023649,AZ
300069,Other,0,266,AZ
310014,Other,0,0,AZ
310015,Other,1,443,AZ
310084,Other,0,8807,AZ
320051,Other,0,21697,AZ
320121,DSL,0,123398,AZ
330004,Other,0,4855,AZ
330045,Other,0,1291,AZ
340031,Other,0,137,AZ
340055,Other,0,104,AZ
130069,DSL,0,14898,AR
130070,DSL,0,2480,AR
130070,FTTH,0,9086,AR
130077,DSL,0,1554567,AR
130077,FTTH,0,27623,AR
130077,FTTH,1,1960,AR
130124,DSL,0,173,AR
130127,DSL,0,679,AR
130132,DSL,0,0,AR
130183,DOCSIS,1,35520,AR
130224,DSL,0,8747,AR
130224,FTTH,1,0,AR
130228,DSL,0,550412,AR
130228,FTTH,0,9674,AR
130228,FTTH,1,177,AR
130254,DSL,0,58,AR
130317,DOCSIS,1,373878,AR
130340,DOCSIS,0,60799,AR
130360,DOCSIS,1,567426,AR
130360,FTTH,1,1738,AR
130370,DOCSIS,0,44700,AR
130370,DOCSIS,1,413588,AR
130386,DSL,0,25556,AR
130386,FTTH,0,5164,AR
130427,DOCSIS,0,62871,AR
130427,DSL,0,21635,AR
130427,FTTH,0,8090,AR
130492,Other,0,53935,AR
130497,DOCSIS,1,137341,AR
130725,FTTH,1,4009,AR
130768,DSL,0,7366,AR
130768,FTTH,0,2461,AR
130772,DSL,0,2852,AR
130882,DSL,0,14735,AR
130882,FTTH,1,4921,AR
131108,DSL,0,1087,AR
131169,DSL,0,800,AR
131177,DSL,0,1311,AR
131214,DSL,0,7767,AR
131232,DSL,0,9845,AR
131232,FTTH,1,8990,AR
131232,Other,0,358,AR
131306,DOCSIS,0,12245,AR
131310,DSL,0,10417,AR
131310,Other,0,1723,AR
131362,DSL,0,11315,AR
131413,DSL,0,259457,AR
131413,FTTH,0,1646,AR
131518,DOCSIS,0,3770,AR
