HocoNum,HighSpeed,population,state
130068,0,23002,AL
130077,0,3151492,AL
130127,0,504,AL
130137,0,3099,AL
130159,0,381841,AL
130183,1,110052,AL
130210,0,2615,AL
130228,0,647974,AL
130235,0,1697513,AL
130254,0,463,AL
130258,0,53164,AL
130317,1,816110,AL
130471,0,4467,AL
130587,0,595257,AL
130597,0,26684,AL
130804,1,473162,AL
130844,0,16157,AL
130851,0,4544,AL
130861,0,5767,AL
130902,0,12902,AL
131038,0,12367,AL
131086,0,3216,AL
131132,0,14718,AL
131302,0,223,AL
131310,0,56424,AL
131311,0,15437,AL
131352,0,116172,AL
131404,0,38646,AL
131413,0,96989,AL
131480,0,630365,AL
131513,0,21,AL
150292,0,11027,AL
150296,0,65049,AL
160157,0,10034,AL
170086,0,24105,AL
190308,0,83932,AL
190367,0,38382,AL
190380,0,83,AL
190380,1,75436,AL
230029,0,19884,AL
230038,0,243,AL
240085,0,14570,AL
250020,0,8278,AL
250035,0,1577,AL
250035,1,353,AL
250087,0,1032,AL
260000,0,24107,AL
260000,1,61058,AL
260003,0,17,AL
280001,1,34,AL
290028,1,26430,AL
310035,0,520,AL
320042,0,19013,AL
320052,0,110,AL
320094,0,2928,AL
320095,0,4704,AL
320121,0,14138,AL
330084,0,132449,AL
130011,0,335,AK
130028,0,285991,AK
130029,0,14375,AK
130035,0,0,AK
130067,0,8139,AK
130077,0,386,AK
130160,0,1739,AK
130275,0,13459,AK
130349,0,6569,AK
130352,0,2109,AK
130534,0,78996,AK
130534,1,502345,AK
130627,0,356,AK
130791,0,115144,AK
130791,1,8641,AK
130964,0,2381,AK
131226,0,20778,AK
140084,0,12283,AK
150229,0,1539,AK
190019,0,52506,AK
190281,0,3279,AK
260068,0,386,AK
260068,1,115,AK
300020,0,189294,AK
330010,0,425,AK
330083,0,71,AK
130081,0,93867,AZ
130103,0,62431,AZ
130132,0,404,AZ
130183,0,6987,AZ
130183,1,237280,AZ
130206,0,3031,AZ
130228,0,5253483,AZ
130228,1,87719,AZ
130254,0,123,AZ
130258,0,312597,AZ
130317,1,323227,AZ
130360,0,17198,AZ
130360,1,4202203,AZ
130509,0,5352,AZ
130542,0,7006,AZ
130627,0,2087019,AZ
130804,0,3228,AZ
130804,1,145394,AZ
130831,0,7462,AZ
130986,0,64,AZ
131016,0,1443916,AZ
131057,0,10487,AZ
131148,0,6282,AZ
131191,0,1010864,AZ
131208,0,10498,AZ
131219,0,1863,AZ
131269,0,13120,AZ
131269,1,273589,AZ
131310,0,8659,AZ
131352,0,160236,AZ
131357,0,7870,AZ
131411,0,29034,AZ
131411,1,1830,AZ
131413,0,26,AZ
131470,0,24945,AZ
140018,0,1989,AZ
140043,0,4986,AZ
150200,0,1370,AZ
150200,1,7960,AZ
150295,0,43018,AZ
170054,0,1576,AZ
170098,0,121,AZ
190008,0,824,AZ
190155,0,774,AZ
190192,0,23,AZ
190428,0,9983,AZ
220013,0,17283,AZ
230021,0,114,AZ
240009,0,90688,AZ
250009,0,297020,AZ
260050,0,119644,AZ
270101,0,53487,AZ
270115,0,798316,AZ
280026,0,12621,AZ
280035,0,24586,AZ
290057,0,3676,AZ
290077,0,121,AZ
290083,0,5655,AZ
300019,0,34841,AZ
300063,0,3023649,AZ
300069,0,266,AZ
310084,0,8807,AZ
320051,0,21697,AZ
320121,0,68948,AZ
330004,0,1456,AZ
330090,0,72,AZ
130069,0,14898,AR
130070,0,11566,AR
130077,0,1571458,AR
130124,0,173,AR
130127,0,679,AR
130183,1,35665,AR
130224,0,8747,AR
130224,1,0,AR
130228,0,539645,AR
130254,0,58,AR
130317,1,372294,AR
130340,0,60799,AR
130360,1,578809,AR
130386,0,27068,AR
130427,0,87323,AR
130492,0,53935,AR
130497,0,137341,AR
130725,1,4009,AR
130768,0,9555,AR
130772,0,2852,AR
130882,0,17423,AR
131108,0,1048,AR
131169,0,800,AR
131177,0,1307,AR
131214,0,7767,AR
131232,0,18269,AR
131269,0,43651,AR
131269,1,418258,AR
131306,0,12245,AR
131310,0,330140,AR
131362,0,11722,AR
131413,0,267862,AR
131518,0,24314,AR
131518,1,17515,AR
150206,0,38784,AR
150206,1,8888,AR
150334,0,191581,AR
180041,0,28125,AR
210092,0,94945,AR
220008,0,915,AR
230021,0,56878,AR
230062,0,177863,AR
230074,0,15858,AR
260003,0,65,AR
260019,0,525,AR
260032,0,322,AR
260056,1,1331,AR
260063,0,204,AR
270012,0,20602,AR
270012,1,40,AR
270016,0,125,AR
270090,0,164406,AR
270096,0,1345,AR
300059,0,17293,AR
300184,0,20162,AR
130062,0,405584,CA
130077,0,26430099,CA
130077,1,15368,CA
130103,0,21471,CA
130127,0,540,CA
130159,0,664088,CA
130171,0,439,CA
130189,0,10797,CA
130202,0,0,CA
130235,0,4150771,CA
130254,0,2001,CA
130258,0,430546,CA
130278,0,29309,CA
130317,1,11821634,CA
130335,0,607837,CA
130360,1,3213976,CA
130471,0,101,CA
130509,0,517,CA
130627,0,3396,CA
130804,0,1737,CA
130804,1,159405,CA
130967,0,361891,CA
131057,0,16657,CA
131173,0,41071,CA
131186,0,35708,CA
131195,0,7614,CA
131269,0,5426,CA
131269,1,189682,CA
131310,0,9419,CA
131352,0,1520217,CA
131352,1,13036519,CA
131400,0,55148,CA
131404,0,29066,CA
131416,0,2912,CA
131421,0,35209,CA
131425,0,7903632,CA
131441,0,41623,CA
131454,0,1383,CA
131454,1,962927,CA
131473,0,3787,CA
131513,0,64137,CA
140048,0,69,CA
150292,0,40344,CA
160127,0,28232,CA
160141,0,10629,CA
160157,0,17722,CA
170098,0,4,CA
190002,0,181178,CA
190008,0,2862,CA
190014,0,1221102,CA
190075,0,3714,CA
190107,0,211725,CA
190123,0,225248,CA
190155,0,540,CA
190172,0,14358,CA
190192,0,490,CA
190311,0,1276755,CA
190425,0,3686889,CA
190425,1,25730,CA
200020,0,762304,CA
200041,0,588215,CA
200057,0,158,CA
220027,0,0,CA
220058,0,5213,CA
220075,0,7037,CA
220082,0,759,CA
230021,0,533,CA
240014,0,15547,CA
240036,0,2576,CA
240041,1,4932,CA
240055,0,1835,CA
250026,0,22510,CA
260005,0,15,CA
260007,1,1401,CA
260052,0,330411,CA
270006,0,80986,CA
270018,0,5521,CA
270020,0,169365,CA
270051,0,15628,CA
270073,0,37222,CA
280024,0,729,CA
280026,0,972,CA
280042,0,82593,CA
280057,0,470364,CA
280075,0,623,CA
280078,0,2985,CA
290065,0,96,CA
290077,0,4,CA
290088,0,42191,CA
290108,0,1829,CA
290114,0,876,CA
290123,0,579,CA
290128,0,279,CA
300043,0,3024653,CA
300095,0,34482,CA
300117,0,4810,CA
300129,0,72689,CA
300136,0,327605,CA
300173,0,556,CA
300199,0,1057360,CA
310005,0,508,CA
310027,0,20047,CA
310065,0,50008,CA
310067,0,7438,CA
310084,0,6523,CA
320031,0,15,CA
320045,0,64530,CA
320062,0,11189,CA
320081,0,4246,CA
320117,0,46,CA
320121,0,479451,CA
330003,0,119958,CA
330062,1,12533,CA
330063,0,109345,CA
330066,0,8773,CA
130017,0,347,CO
130126,0,23535,CO
130127,0,16374,CO
130132,0,56,CO
130133,0,404,CO
130133,1,1129,CO
130228,0,4308126,CO
130228,1,344060,CO
130235,0,352052,CO
130254,0,0,CO
130317,1,3802674,CO
130429,0,3447,CO
130439,0,11021,CO
130471,0,8394,CO
130487,0,7356,CO
130569,0,9,CO
130623,0,99,CO
130627,0,1734185,CO
130663,0,30258,CO
130674,0,1890,CO
130692,0,54077,CO
130868,0,1401,CO
130962,0,2489,CO
130963,0,1875,CO
131017,0,353618,CO
131021,0,3226,CO
131034,0,2777,CO
131034,1,3249,CO
131043,0,12083,CO
131044,0,26,CO
131049,0,2552,CO
131090,0,92,CO
131111,0,353,CO
131128,0,10223,CO
131145,0,108,CO
131265,0,171,CO
131310,0,130089,CO
131352,0,14888,CO
131362,0,2722,CO
131404,0,15726,CO
131481,0,9189,CO
131487,0,189,CO
131513,0,134,CO
140048,0,2322418,CO
150206,0,5321,CO
150244,0,354,CO
190008,0,149,CO
190084,0,39,CO
190145,0,10473,CO
190166,0,26870,CO
190166,1,298,CO
190192,0,70253,CO
190313,0,35166,CO
190328,0,17867,CO
200057,0,316,CO
210028,0,100416,CO
220012,0,1944,CO
230043,0,27528,CO
230043,1,1077,CO
250092,0,279,CO
270033,0,2125472,CO
270064,0,81,CO
280014,1,18068,CO
280068,0,35623,CO
290008,0,46248,CO
290051,0,14573,CO
290092,0,900,CO
290092,1,57,CO
300037,0,10071,CO
300078,0,653725,CO
300081,0,561,CO
300147,0,1493,CO
300171,0,2698,CO
300192,0,19771,CO
310005,0,167,CO
310019,0,19898,CO
310024,0,47617,CO
310079,1,14863,CO
310085,0,13272,CO
320022,0,1034,CO
320080,0,50,CO
320121,0,129871,CO
330032,0,23350,CO
330052,0,2933,CO
330053,0,3474,CO
360114,0,0,CO
130127,0,251,CT
130235,0,354109,CT
130258,0,836320,CT
130258,1,2553641,CT
130317,1,1807052,CT
130360,1,446022,CT
130370,1,803394,CT
130576,1,63923,CT
131425,0,45314,CT
131513,0,6,CT
190192,0,157,CT
280001,1,138979,CT
320121,0,33699,CT
130127,0,569,DE
130317,1,752095,DE
130804,0,63,DE
130804,1,67482,DE
131425,0,850434,DE
190008,0,672,DE
280001,0,95,DE
280001,1,52704,DE
290009,0,96,DE
290018,0,32238,DE
320121,0,6204,DE
130079,1,379308,DC
130317,1,588096,DC
131425,0,596351,DC
131513,0,132,DC
140105,0,2196,DC
150249,0,39891,DC
190008,0,48,DC
280001,1,0,DC
320121,0,4857,DC
330070,0,0,DC
130077,0,10163698,FL
130077,1,134807,FL
130127,0,4600,FL
130159,0,53578,FL
130159,1,6504629,FL
130228,0,3449873,FL
130228,1,139969,FL
130254,0,179,FL
130258,0,9737,FL
130317,1,9972342,FL
130360,1,724276,FL
130471,0,84397,FL
130587,0,2985,FL
130623,0,88832,FL
130623,1,6030,FL
130627,0,151,FL
130804,1,255404,FL
130880,0,9730,FL
130988,0,44563,FL
130988,1,62947,FL
131060,0,8332,FL
131060,1,4947,FL
131167,0,175620,FL
131204,0,13851,FL
131204,1,2636,FL
131310,0,27337,FL
131362,0,25292,FL
131413,0,336296,FL
131425,0,3578647,FL
131480,0,804085,FL
131513,0,818,FL
140105,0,462,FL
160110,0,41098,FL
160146,0,173,FL
160151,0,2733,FL
160162,0,1574,FL
170064,0,3878,FL
