HocoNum,HighSpeed,population
130002,0,37887
130005,0,93
130008,0,65679
130008,1,52234
130010,0,85577
130011,0,73
130012,0,27128
130012,1,50009
130017,0,385
130018,0,48291
130019,0,443184
130019,1,214740
130028,0,439928
130029,0,14375
130031,1,9650
130032,0,4850
130032,1,6451
130034,0,41155
130035,1,9202
130036,0,3322
130037,0,52729
130037,1,28879
130039,0,42570
130040,0,35185
130043,0,741
130044,0,38752
130045,0,11958
130046,0,1916
130057,0,35400
130057,1,373
130058,0,1650
130058,1,13356
130059,0,442426
130059,1,511
130061,0,9920
130062,0,391311
130065,0,78322
130066,0,6623
130067,0,8139
130068,0,30818
130068,1,52915
130069,0,14839
130070,0,202
130070,1,11458
130071,0,26287
130071,1,982867
130073,0,3675
130074,0,198458
130074,1,30880
130077,0,103613007
130077,1,20361756
130079,0,6999
130079,1,5429802
130081,0,129979
130082,0,15409
130082,1,68709
130083,0,2095
130084,0,1191
130086,0,45493
130086,1,0
130087,0,2747
130090,0,8176
130090,1,766
130092,0,3011
130093,0,30328
130094,0,12918
130095,0,18227
130096,0,1106
130097,0,145447
130098,0,125185
130098,1,12252
130103,0,78105
130104,0,17812
130105,0,23496
130106,0,8788
130106,1,3331
130107,0,5128
130108,1,27322
130112,0,111145
130112,1,8712
130114,0,19967
130115,0,27424
130116,0,2663783
130118,0,2101
130119,0,1032
130120,0,11236
130122,0,257235
130122,1,1453
130123,0,39240
130123,1,3154
130124,0,59889
130126,0,23567
130127,0,112898
130130,0,21318
130130,1,14050
130132,0,83091
130132,1,5234
130133,0,36057
130133,1,4416
130134,0,3798
130136,0,19771
130136,1,10784
130137,0,263821
130137,1,544140
130138,1,7185
130139,0,4286
130140,0,5124
130140,1,10909
130141,0,4058
130142,0,33344
130142,1,16641
130144,0,18084
130146,0,742005
130148,0,3504
130149,1,33909
130150,0,60062
130150,1,88004
130151,1,17696
130152,0,16367
130152,1,420
130153,0,10297
130154,0,6093
130154,1,12660
130160,0,1739
130161,0,50619
130161,1,271
130168,0,8136
130169,0,4012
130170,0,3115
130171,0,1316
130175,0,69471
130176,1,63353
130178,0,237
130179,0,10186
130183,0,1068436
130183,1,3358492
130184,1,22947
130189,0,10814
130192,0,6134
130192,1,2
130193,0,13189
130193,1,1980
130195,0,3072
130196,0,9275
130196,1,19846
130199,0,7414
130201,0,1225
130201,1,1830
130202,0,48065
130203,0,2325
130204,1,3878
130206,0,38952
130207,1,942
130208,0,61699
130210,0,2615
130218,0,870
130218,1,40971
130223,0,1108
130224,0,7196
130224,1,1553
130226,0,19773
130227,0,423520
130228,0,39423802
130228,1,9720281
130233,0,2279
130234,0,268917
130234,1,19681
130235,0,1891545
130235,1,100574665
130237,0,16453
130238,0,8521
130239,0,5699
130239,1,11403
130240,0,16345
130242,0,92314
130242,1,28349
130243,0,5779
130244,0,25658
130244,1,4839
130245,0,70393
130245,1,94
130250,0,4719
130252,0,22189
130254,0,558117
130254,1,1321579
130258,0,34082881
130259,0,1949
130259,1,6556
130263,0,15912
130264,1,19802
130265,0,15341
130266,0,27999
130267,1,5380
130268,0,5636
130269,0,11136
130270,0,4526
130271,1,21994
130272,0,8973
130274,0,422
130275,0,136
130275,1,12995
130278,0,28472
130278,1,1303
130279,0,105544
130281,0,29702
130282,0,25738
130283,0,4851
130285,0,4889
130287,0,654
130288,1,34831
130289,0,12234
130290,0,606
130290,1,12902
130291,0,6199
130292,0,421023
130299,0,5457
130300,0,3285
130300,1,20540
130302,0,9178
130303,0,4388
130305,1,3221
130307,0,9400
130309,0,148349
130309,1,1373
130310,0,4439
130311,0,33923
130311,1,2511
130312,0,3296
130314,1,8219
130315,0,57865
130315,1,2246
130316,0,269895
130317,0,170094
130317,1,110564324
130321,0,7779
130322,1,83926
130324,0,5929
130325,0,3751
130326,0,5346
130327,0,3634
130329,0,52889
130329,1,99
130331,0,225717
130334,0,91709
130335,0,4555678
130335,1,433639
130337,0,36632
130338,0,10932
130338,1,55586
130340,0,60799
130343,0,6358
130344,0,5639
130345,0,5830
130346,0,5393
130347,0,3272
130349,0,6472
130352,0,2145
130353,0,3560
130360,0,22826
130360,1,20781903
130361,0,5209
130362,0,22249
130363,0,2752
130363,1,10707
130364,0,30950
130364,1,18959
130366,0,24267
130368,0,736
130369,0,6677
130370,0,830529
130370,1,18426286
130374,0,7432
130375,0,10999
130378,0,9069
130380,0,14772
130380,1,807
130385,0,25628
130385,1,51053
130386,0,20238
130386,1,6830
130387,0,240
130387,1,25520
130390,0,5223
130390,1,13094
130391,0,13576
130393,0,15238
130395,0,10864
130396,0,51268
130398,0,5409
130399,0,10242
130400,0,28556
130401,0,24982
130402,0,799
130405,1,19276
130416,0,17131
130419,1,3400
130420,0,4877
130421,0,2508
130423,0,18179
130423,1,19029
130425,0,40848
130427,0,171130
130427,1,1247
130429,0,74704
130431,0,485
130432,0,37518
130432,1,107673
130433,0,5041
130437,0,6112
130437,1,28
130439,0,11021
130440,0,78009
130444,0,10189
130445,0,51201
130446,0,13548
130448,0,26059
130449,0,3594
130450,0,2927
130453,0,40052
130453,1,4522
130454,0,2407
130455,0,27711
130455,1,87730
130458,0,83685
130458,1,63571
130459,1,535246
130460,0,2539
130464,0,43368
130464,1,85
130472,0,7610
130473,0,1796
130473,1,4006
130475,1,8681
130476,0,5742
130476,1,2
130477,0,9675
130478,0,1235
130479,0,8100
130481,0,92170
