HocoNum,HighSpeed,population,state
130068,0,23078,AL
130077,0,2803870,AL
130077,1,250585,AL
130127,0,504,AL
130137,0,3114,AL
130183,1,112906,AL
130210,0,2615,AL
130228,0,663412,AL
130228,1,11,AL
130235,0,584137,AL
130235,1,1625553,AL
130258,0,53152,AL
130317,0,98446,AL
130317,1,739770,AL
130471,0,4449,AL
130587,0,595257,AL
130597,0,26684,AL
130804,0,29677,AL
130804,1,619070,AL
130844,0,15802,AL
130851,0,4544,AL
130861,0,5629,AL
130902,0,17003,AL
131038,0,12252,AL
131086,0,3216,AL
131302,1,43362,AL
131310,0,57931,AL
131311,0,15907,AL
131404,0,50867,AL
131413,0,79642,AL
131480,0,69172,AL
131480,1,541204,AL
150221,0,592,AL
150292,0,11083,AL
150296,0,65015,AL
160157,0,13703,AL
190025,0,46,AL
190308,0,83932,AL
190341,0,14683,AL
190367,0,38382,AL
190380,0,14718,AL
190380,1,108671,AL
230029,0,19884,AL
240041,1,52849,AL
240085,0,14570,AL
250020,0,11749,AL
250035,0,1555,AL
250035,1,677,AL
250087,0,601,AL
260000,0,6346,AL
260000,1,63946,AL
290028,1,26401,AL
300164,0,26,AL
310035,0,14825,AL
320042,0,44954,AL
320052,0,1167,AL
320094,0,2928,AL
320121,0,12030,AL
330084,0,132449,AL
340015,0,0,AL
340087,0,1568,AL
350060,0,53673,AL
350067,0,49356,AL
350079,0,861,AL
360002,0,570,AL
130011,0,335,AK
130028,0,317883,AK
130029,0,14375,AK
130035,1,0,AK
130067,0,8139,AK
130077,0,247,AK
130160,0,1739,AK
130275,0,136,AK
130275,1,12995,AK
130349,0,6474,AK
130352,0,2140,AK
130534,0,47530,AK
130534,1,535304,AK
130791,0,104178,AK
130791,1,21057,AK
130964,0,2381,AK
131226,0,20778,AK
140084,0,12283,AK
150229,0,1539,AK
190019,0,73799,AK
190281,0,3633,AK
260068,0,715,AK
300020,0,189294,AK
300164,0,2,AK
330010,0,423,AK
330010,1,2,AK
330083,0,510,AK
340079,0,2334,AK
350036,0,2034,AK
350037,0,81,AK
360064,0,4376,AK
130081,0,97132,AZ
130103,0,58520,AZ
130127,0,0,AZ
130132,0,83,AZ
130183,1,245459,AZ
130206,0,3031,AZ
130228,0,4481264,AZ
130228,1,879294,AZ
130235,1,177658,AZ
130258,0,312607,AZ
130317,1,333877,AZ
130360,0,22826,AZ
130360,1,4197243,AZ
130370,1,296261,AZ
130509,0,1309,AZ
130542,0,18982,AZ
130804,0,439,AZ
130804,1,178850,AZ
130831,0,7806,AZ
131016,0,1541508,AZ
131057,0,10697,AZ
131148,0,6199,AZ
131167,0,70027,AZ
131191,0,1010864,AZ
131208,0,13680,AZ
131219,0,9968,AZ
131310,0,9477,AZ
131357,0,5528,AZ
131411,0,18857,AZ
131411,1,15786,AZ
140043,0,9335,AZ
150200,0,1412,AZ
150200,1,7936,AZ
170054,0,2059,AZ
190008,0,824,AZ
190025,0,26,AZ
190155,0,327,AZ
190192,0,23,AZ
190428,0,9983,AZ
220013,0,17283,AZ
230021,0,114,AZ
240009,0,171925,AZ
250009,0,297029,AZ
260050,0,60720,AZ
270101,0,54673,AZ
270115,0,3604,AZ
280026,0,12621,AZ
280035,0,28253,AZ
290050,0,458,AZ
290057,0,7767,AZ
290083,0,6112,AZ
300019,0,40506,AZ
300063,0,3565037,AZ
300069,0,266,AZ
310014,0,0,AZ
310015,1,443,AZ
320051,0,21801,AZ
320121,0,86983,AZ
330004,0,11072,AZ
330045,0,5927,AZ
340015,0,159,AZ
340031,0,644,AZ
350046,0,6473,AZ
350105,0,11957,AZ
350105,1,341,AZ
360022,0,25851,AZ
360022,1,569,AZ
360131,1,237,AZ
130069,0,14839,AR
130070,0,202,AR
130070,1,11458,AR
130077,0,1499568,AR
130077,1,73709,AR
130124,0,173,AR
130127,0,684,AR
130132,0,0,AR
130183,1,36528,AR
130224,0,8747,AR
130224,1,0,AR
130228,0,517851,AR
130228,1,177,AR
130317,0,207,AR
130317,1,382678,AR
130340,0,60799,AR
130360,1,579671,AR
130370,0,70128,AR
130370,1,426843,AR
130386,0,21036,AR
130386,1,6032,AR
130427,0,91523,AR
130492,0,62044,AR
130497,1,138387,AR
130725,1,4125,AR
130768,0,9555,AR
130772,0,2852,AR
130882,0,10693,AR
130882,1,6733,AR
131108,0,1027,AR
131169,0,800,AR
131177,0,1311,AR
131214,0,7767,AR
131232,0,8361,AR
131232,1,11034,AR
131310,0,1723,AR
131362,0,11315,AR
131413,0,253900,AR
131413,1,1194,AR
131518,0,24496,AR
131518,1,19651,AR
150206,0,13314,AR
150206,1,26514,AR
150323,0,0,AR
150334,0,194928,AR
180041,0,28125,AR
190053,0,7468,AR
210092,0,94945,AR
220008,0,937,AR
230021,0,68134,AR
230062,0,186856,AR
230074,0,6894,AR
230074,1,312,AR
260019,0,252,AR
260019,1,318,AR
260056,1,27563,AR
270012,0,211534,AR
270016,0,533,AR
270090,0,251078,AR
270096,0,1345,AR
300059,0,16685,AR
300184,0,19553,AR
320052,0,36,AR
340008,1,12311,AR
350122,0,75,AR
360010,0,11740,AR
360065,1,13538,AR
360109,0,3883,AR
130062,0,404018,CA
130077,0,24679097,CA
130077,1,1680459,CA
130103,0,18355,CA
130127,0,540,CA
130171,0,1316,CA
130189,0,10814,CA
130228,0,24,CA
130235,0,534274,CA
130235,1,18815638,CA
130258,0,8564745,CA
130278,0,27067,CA
130278,1,2242,CA
130317,0,11598,CA
130317,1,11941474,CA
130335,0,585183,CA
130335,1,23309,CA
130360,1,3212034,CA
130370,1,221188,CA
130509,0,16,CA
130804,0,1664,CA
130804,1,187534,CA
130967,0,361891,CA
131057,0,16750,CA
131173,0,41071,CA
131186,0,35711,CA
131195,0,7631,CA
131310,0,9661,CA
131400,0,57178,CA
131404,0,29028,CA
131416,0,2708,CA
131421,0,35209,CA
131441,0,42138,CA
131454,0,1361,CA
131454,1,1050700,CA
131473,0,3787,CA
140048,0,80,CA
150292,0,39878,CA
160127,0,29078,CA
160141,0,12243,CA
160141,1,204,CA
160157,0,17793,CA
170098,0,0,CA
190002,0,181178,CA
190008,0,2862,CA
190014,0,301571,CA
190075,0,3714,CA
190107,0,211725,CA
190123,0,276139,CA
190155,0,1433,CA
190172,0,13933,CA
190192,0,490,CA
190311,0,1316602,CA
190425,0,2696629,CA
190425,1,271763,CA
200020,0,999159,CA
200041,0,766876,CA
200057,0,158,CA
220002,0,4769,CA
220058,0,9307,CA
220075,0,10683,CA
230021,0,533,CA
240014,0,13403,CA
240017,0,214,CA
240036,0,2576,CA
240041,0,37798,CA
240041,1,84819,CA
240055,0,1844,CA
260007,1,1611,CA
260050,0,92,CA
260052,0,361826,CA
270006,0,80986,CA
270018,0,5555,CA
270020,0,404260,CA
270051,0,18477,CA
270073,0,37222,CA
280024,0,729,CA
280026,0,972,CA
280042,0,87142,CA
280057,0,470364,CA
280075,0,623,CA
280078,0,2985,CA
290088,0,42191,CA
290108,0,2401,CA
290114,0,1067,CA
290123,0,819,CA
290123,1,17,CA
290128,0,364,CA
300043,0,3024653,CA
300079,0,193854,CA
300095,0,34482,CA
300117,0,13203,CA
300164,0,384,CA
300173,0,727,CA
300199,0,12071,CA
310015,0,2064,CA
310015,1,110015,CA
310027,0,29515,CA
310065,0,179731,CA
310067,0,7467,CA
310084,0,7588,CA
320031,0,15,CA
320045,1,79694,CA
320062,0,12409,CA
320081,0,7718,CA
320117,0,178,CA
320121,0,1430417,CA
330003,0,119958,CA
330062,1,28055,CA
330066,0,8197,CA
340015,0,145,CA
340041,0,31243,CA
340042,0,408,CA
340045,0,4370,CA
340066,1,10316,CA
340071,0,4172,CA
340076,1,512974,CA
340085,0,2645556,CA
340093,1,9,CA
340098,0,3696652,CA
350005,0,8017,CA
350030,0,0,CA
350032,1,28199,CA
350033,0,24,CA
350072,0,2403,CA
350080,0,132862,CA
350094,0,51639,CA
350095,0,1593991,CA
350110,0,240124,CA
350117,0,15222,CA
350128,0,2376,CA
350132,0,13385,CA
350134,0,452,CA
360030,1,597119,CA
360056,0,21292,CA
360078,0,3786,CA
360094,0,21,CA
360112,0,0,CA
360119,1,71,CA
360129,0,35245,CA
360131,0,38,CA
360131,1,49,CA
360132,0,57,CA
130017,0,385,CO
130126,0,23550,CO
130127,0,6917,CO
130132,0,0,CO
130133,0,33342,CO
130133,1,4316,CO
130228,0,3504557,CO
130228,1,1175748,CO
130235,0,367878,CO
130317,1,3870057,CO
130429,0,3447,CO
130439,0,11021,CO
130471,0,7235,CO
130487,0,1464,CO
130569,0,0,CO
130623,0,68,CO
130663,0,43656,CO
130674,0,2201,CO
130692,0,47333,CO
130692,1,6744,CO
130868,0,1401,CO
130886,0,163654,CO
130962,0,2498,CO
130963,0,1875,CO
130986,0,1562,CO
131017,0,353600,CO
131021,0,3226,CO
131034,0,4124,CO
131034,1,3249,CO
131043,0,12083,CO
131044,0,26,CO
131049,0,2552,CO
131090,0,92,CO
131128,0,10816,CO
131145,1,108,CO
131265,0,171,CO
131310,0,69058,CO
131310,1,58880,CO
131362,0,2722,CO
131387,0,154,CO
131404,0,12214,CO
131481,0,10192,CO
131487,0,189,CO
140048,0,3221114,CO
150206,0,5747,CO
150244,0,354,CO
170098,0,0,CO
180026,0,1961,CO
180026,1,87,CO
190008,0,149,CO
190084,1,179,CO
190145,0,7052,CO
190145,1,3421,CO
190166,0,23746,CO
190166,1,298,CO
190192,0,70253,CO
190313,0,34982,CO
200057,0,316,CO
220012,0,2219,CO
230043,0,56995,CO
230043,1,2592,CO
240041,0,109,CO
240041,1,1294,CO
250092,0,279,CO
270033,0,2125472,CO
280014,1,80089,CO
280068,0,35623,CO
290008,0,47686,CO
290051,0,6562,CO
300037,0,10071,CO
300078,0,653321,CO
300147,0,1513,CO
300164,0,30,CO
300171,0,21885,CO
300171,1,0,CO
