HocoNum,TechType,HighSpeed,population,state
130068,DSL,0,23002,AL
130068,FTTH,0,6520,AL
130077,DSL,0,3042084,AL
130077,FTTH,1,430288,AL
130077,Other,0,85093,AL
130127,DSL,0,504,AL
130137,DOCSIS,0,3063,AL
130183,DOCSIS,1,112278,AL
130210,DSL,0,2615,AL
130228,DSL,0,664642,AL
130228,FTTH,0,18799,AL
130228,FTTH,1,442,AL
130235,DOCSIS,0,11334,AL
130235,DOCSIS,1,2209766,AL
130235,FTTH,1,151,AL
130258,DSL,0,53170,AL
130317,DOCSIS,0,372,AL
130317,DOCSIS,1,842770,AL
130335,DSL,0,4450,AL
130587,DSL,0,595257,AL
130587,FTTH,0,595257,AL
130587,Other,0,595257,AL
130597,DSL,0,20915,AL
130597,FTTH,0,5796,AL
130804,DOCSIS,0,37578,AL
130804,DOCSIS,1,622909,AL
130844,DSL,0,15802,AL
130851,FTTH,0,4044,AL
130861,DSL,0,5188,AL
130861,FTTH,0,441,AL
130902,FTTH,1,17003,AL
131038,DOCSIS,0,5590,AL
131038,DSL,0,6429,AL
131038,FTTH,0,613,AL
131038,Other,0,0,AL
131086,DSL,0,3216,AL
131086,FTTH,0,2150,AL
131302,FTTH,1,41533,AL
131310,DSL,0,58213,AL
131310,FTTH,0,1230,AL
131311,DSL,0,15907,AL
131311,FTTH,0,1363,AL
131404,DOCSIS,0,50867,AL
131413,DSL,0,80729,AL
131413,DSL,1,2578,AL
131413,FTTH,0,8132,AL
131413,FTTH,1,7100,AL
131480,DOCSIS,0,63673,AL
131480,DOCSIS,1,550501,AL
131480,DSL,0,6079,AL
131480,FTTH,1,538066,AL
150221,DSL,0,1759,AL
150221,Other,0,0,AL
150292,DOCSIS,0,11063,AL
150296,DOCSIS,0,12099,AL
150296,DSL,0,39994,AL
150296,FTTH,0,14460,AL
160157,DOCSIS,0,12489,AL
190123,Other,0,12,AL
190308,DOCSIS,1,83932,AL
190341,Other,0,1476,AL
190367,FTTH,0,2153,AL
190367,Other,0,38382,AL
