HocoNum,TechType,HighSpeed,population
130002,DSL,0,26068
130002,FTTH,0,11845
130005,DSL,0,93
130008,DSL,0,59471
130008,FTTH,1,52234
130008,Other,0,20892
130010,DSL,0,46444
130010,Other,0,81428
130011,FTTH,0,73
130012,DSL,0,19355
130012,FTTH,1,50009
130012,Other,0,65900
130017,DSL,0,385
130018,DSL,0,48291
130019,FTTH,1,214740
130019,Other,0,619093
130028,DSL,0,439681
130028,FTTH,0,247
130029,DSL,0,12790
130029,Other,0,9699
130031,FTTH,1,9650
130032,DSL,0,6321
130032,FTTH,1,6451
130032,Other,0,4
130034,DOCSIS,0,283
130034,DSL,0,3690
130034,FTTH,0,33300
130034,Other,0,5675
130035,DOCSIS,0,9202
130035,FTTH,1,9202
130036,DSL,0,3004
130036,FTTH,0,3322
130037,DOCSIS,0,53422
130037,DSL,0,15526
130037,FTTH,1,28879
130037,Other,0,14429
130039,DOCSIS,0,41347
130039,FTTH,0,32098
130040,FTTH,0,35185
130043,FTTH,0,741
130044,DOCSIS,0,29279
130044,DSL,0,10273
130044,FTTH,0,1473
130045,DSL,0,5626
130045,FTTH,0,6332
130046,DOCSIS,0,1916
130057,DOCSIS,0,21583
130057,DSL,0,21251
130057,FTTH,0,1200
130057,FTTH,1,373
130058,DSL,0,11896
130058,FTTH,1,13356
130059,FTTH,1,511
130059,Other,0,442937
130061,Other,0,9920
130062,Other,0,391311
130065,DOCSIS,0,771
130065,DSL,0,4751
130065,Other,0,76387
130066,DSL,0,663
130066,FTTH,0,5960
130067,DSL,0,7027
130067,FTTH,0,1112
130068,DSL,0,30727
130068,FTTH,0,7307
130068,FTTH,1,52915
130069,DSL,0,14839
130070,DSL,0,202
130070,FTTH,1,11458
130071,DOCSIS,1,982867
130071,DSL,0,49815
130073,DSL,0,28
130073,FTTH,0,3675
130074,DOCSIS,0,58044
130074,DSL,0,116481
130074,FTTH,1,30880
130074,Other,0,84171
130077,DSL,0,121996008
130077,FTTH,0,42127
130077,FTTH,1,20361756
130077,Other,0,1565786
130079,DOCSIS,0,2
130079,DOCSIS,1,5329401
130079,DSL,0,42736
130079,FTTH,1,705997
130081,Other,0,129979
130082,DOCSIS,1,46398
130082,DSL,0,65792
130082,FTTH,1,29856
130083,DSL,0,2095
130084,DOCSIS,0,1191
130086,DOCSIS,0,1065
130086,DSL,0,20366
130086,FTTH,0,1420
130086,FTTH,1,0
130086,Other,0,33513
130087,DSL,0,2506
130087,FTTH,0,380
130090,DSL,0,1180
130090,FTTH,0,172
130090,FTTH,1,766
130090,Other,0,7742
130092,FTTH,0,3011
130093,DOCSIS,0,17242
130093,DSL,0,2198
130093,FTTH,0,22586
130094,FTTH,0,12918
130095,DSL,0,11755
130095,FTTH,0,6472
130096,DSL,0,1106
130097,DSL,0,17370
130097,FTTH,0,4874
130097,Other,0,143670
130098,FTTH,1,12252
130098,Other,0,137428
130103,DOCSIS,0,2036
130103,Other,0,77846
130104,DSL,0,17812
130104,FTTH,0,2027
130105,Other,0,23496
130106,DOCSIS,0,8288
130106,DSL,0,2530
130106,FTTH,0,409
130106,FTTH,1,3331
130106,Other,0,1594
130107,DSL,0,5128
130108,FTTH,1,27322
130112,DSL,0,95085
130112,FTTH,0,16060
130112,FTTH,1,8712
130114,DSL,0,3570
130114,FTTH,0,2693
130114,Other,0,19254
130115,DOCSIS,0,9552
130115,DSL,0,10358
130115,FTTH,0,5133
130115,Other,0,19514
130116,DSL,0,1809
130116,FTTH,0,131444
130116,Other,0,2606536
130118,DSL,0,2101
130119,DSL,0,374
130119,FTTH,0,658
130120,FTTH,0,11236
130120,Other,0,7107
130122,DSL,0,257428
130122,FTTH,0,1751
130122,FTTH,1,1453
130122,Other,0,370
130123,DSL,0,19068
130123,FTTH,0,2040
130123,FTTH,1,3154
130123,Other,0,41349
130124,DSL,0,18917
130124,Other,0,42768
130126,DSL,0,2356
130126,FTTH,0,1036
130126,Other,0,20351
130127,DSL,0,112898
130130,DSL,0,20475
130130,DSL,1,10617
130130,FTTH,0,21355
130130,FTTH,1,6603
130132,DSL,0,76467
130132,FTTH,0,6097
130132,FTTH,1,5234
130132,Other,0,10743
130133,DSL,0,578
130133,FTTH,0,280
130133,FTTH,1,4358
130133,Other,0,39694
130133,Other,1,58
130134,DSL,0,3798
130136,DSL,0,30555
130136,FTTH,1,10784
130137,DOCSIS,0,263821
130137,DOCSIS,1,544140
130137,FTTH,0,11936
130138,DSL,0,50
130138,FTTH,1,7185
130139,DSL,0,1382
130139,FTTH,0,2924
130140,DSL,0,5289
130140,FTTH,1,10909
130141,DSL,0,4058
130141,FTTH,0,3461
130142,DOCSIS,0,4423
130142,DSL,0,49468
130142,FTTH,1,16641
130144,DOCSIS,0,3353
130144,FTTH,0,8290
130144,Other,0,10268
130146,Other,0,742005
130148,DSL,0,3504
130149,DOCSIS,1,33909
130150,DSL,0,148066
130150,FTTH,1,88004
130151,FTTH,1,17696
130152,DOCSIS,0,14215
130152,DSL,0,12189
130152,FTTH,1,420
130153,DSL,0,10297
130153,FTTH,0,7360
130154,DSL,0,14531
130154,FTTH,1,12660
130154,Other,0,14079
130160,DSL,0,1739
130161,FTTH,1,271
130161,Other,0,50890
130168,DOCSIS,0,8136
130169,DOCSIS,0,234
130169,DSL,0,3915
130170,DSL,0,3115
130170,FTTH,0,349
130171,DSL,0,352
130171,Other,0,1024
130175,DSL,0,8207
130175,Other,0,63302
130176,FTTH,1,63353
130178,FTTH,0,237
130179,DOCSIS,0,1606
130179,DSL,0,3829
130179,FTTH,0,5923
130183,DOCSIS,0,1068436
130183,DOCSIS,1,3358492
130184,DOCSIS,1,22947
130189,DSL,0,8182
130189,FTTH,0,1847
130189,Other,0,3415
130192,DSL,0,5776
130192,FTTH,0,1442
130192,FTTH,1,2
130193,DSL,0,7947
130193,FTTH,0,5861
130193,FTTH,1,1980
130193,Other,0,1935
130195,DSL,0,3072
130196,DSL,0,20163
130196,FTTH,0,1471
130196,FTTH,1,19846
130199,DSL,0,1167
130199,FTTH,0,6247
130201,DSL,0,1225
130201,FTTH,1,1830
130202,DOCSIS,0,48065
130203,DSL,0,2325
130204,FTTH,1,3878
130206,DSL,0,17447
130206,FTTH,0,27536
130206,Other,0,0
130207,DSL,0,942
130207,FTTH,1,942
130208,DOCSIS,0,44640
130208,DSL,0,6327
130208,FTTH,0,3711
130208,Other,0,33192
130210,DSL,0,2615
130218,FTTH,1,40971
130218,Other,0,27027
130223,DSL,0,1108
130224,DSL,0,7196
130224,FTTH,1,1553
130226,DSL,0,10128
130226,FTTH,0,2039
130226,Other,0,12996
130227,DSL,0,7829
130227,FTTH,0,9228
130227,Other,0,415451
130228,DSL,0,42455778
130228,DSL,1,5828907
130228,FTTH,0,734045
130228,FTTH,1,4384893
130228,Other,0,491
130233,DSL,0,2279
130234,DSL,0,8966
130234,FTTH,1,19681
130234,Other,0,288598
130235,DOCSIS,0,1891471
130235,DOCSIS,1,100574665
130235,FTTH,0,10306
130235,FTTH,1,60229
130237,DOCSIS,0,16453
130238,DSL,0,8521
130238,FTTH,0,4474
130239,DSL,0,6020
130239,FTTH,1,11403
130240,DSL,0,16345
130240,FTTH,0,640
130242,DOCSIS,0,68243
130242,DOCSIS,1,27050
130242,DSL,0,40227
130242,FTTH,0,4445
130242,FTTH,1,2776
130243,FTTH,0,5779
130244,DSL,0,25770
130244,FTTH,1,4839
130245,DSL,0,70393
130245,FTTH,1,94
130250,DSL,0,3423
130250,FTTH,0,1304
130250,Other,0,1287
130252,DSL,0,17219
130252,FTTH,0,16783
130254,DOCSIS,0,20180
130254,DSL,0,1467830
130254,FTTH,1,1321579
130258,DSL,0,33486953
