HocoNum,TechType,HighSpeed,population,state
130068,DSL,0,23002,AL
130068,FTTH,0,5445,AL
130077,DSL,0,3030079,AL
130077,FTTH,1,250585,AL
130127,DSL,0,504,AL
130137,DOCSIS,0,3114,AL
130183,DOCSIS,1,112906,AL
130210,DSL,0,2615,AL
130228,DSL,0,663186,AL
130228,FTTH,0,12426,AL
130228,FTTH,1,11,AL
130235,DOCSIS,0,584137,AL
130235,DOCSIS,1,1625553,AL
130235,FTTH,1,151,AL
130258,DSL,0,53152,AL
130317,DOCSIS,0,98446,AL
130317,DOCSIS,1,739311,AL
130317,FTTH,1,459,AL
130471,DSL,0,4449,AL
130587,DSL,0,595257,AL
130587,FTTH,0,595257,AL
130587,Other,0,595257,AL
130597,DSL,0,26684,AL
130804,DOCSIS,0,29677,AL
130804,DOCSIS,1,619070,AL
130844,DSL,0,15802,AL
130851,DSL,0,3863,AL
130851,FTTH,0,681,AL
130861,DSL,0,5194,AL
130861,FTTH,0,435,AL
130902,DSL,0,1633,AL
130902,FTTH,0,15370,AL
131038,DOCSIS,0,5590,AL
131038,DSL,0,6429,AL
131038,FTTH,0,613,AL
131038,Other,0,0,AL
131086,DSL,0,3216,AL
131086,FTTH,0,2150,AL
131302,FTTH,1,43362,AL
131310,DSL,0,57931,AL
131310,FTTH,0,1263,AL
131311,DSL,0,15907,AL
131311,FTTH,0,1363,AL
131404,DOCSIS,0,50867,AL
131413,DSL,0,79013,AL
131413,FTTH,0,13333,AL
131480,DOCSIS,0,63673,AL
131480,DOCSIS,1,527087,AL
131480,DSL,0,6079,AL
131480,FTTH,1,538066,AL
150221,DSL,0,592,AL
150292,DOCSIS,0,11083,AL
150296,DOCSIS,0,14471,AL
150296,DSL,0,43625,AL
150296,FTTH,0,11858,AL
160157,DOCSIS,0,13703,AL
190025,Other,0,46,AL
190308,DOCSIS,0,83932,AL
190341,Other,0,14683,AL
190367,FTTH,0,2153,AL
190367,Other,0,38382,AL
190380,DOCSIS,0,2897,AL
190380,DSL,0,11821,AL
190380,FTTH,0,5224,AL
190380,FTTH,1,108671,AL
230029,Other,0,19884,AL
240041,FTTH,1,52849,AL
240085,DOCSIS,0,14570,AL
240085,FTTH,0,14570,AL
250020,Other,0,11749,AL
250035,Other,0,1555,AL
250035,Other,1,677,AL
250087,Other,0,601,AL
260000,DSL,0,48742,AL
260000,FTTH,1,63946,AL
260000,Other,0,10089,AL
290028,FTTH,1,26401,AL
300164,Other,0,26,AL
310035,Other,0,14825,AL
320042,Other,0,44954,AL
320052,DSL,0,1167,AL
320052,Other,0,0,AL
320094,Other,0,2928,AL
320121,DSL,0,12030,AL
330084,Other,0,132449,AL
340015,Other,0,0,AL
340087,Other,0,1568,AL
350060,Other,0,53673,AL
350067,Other,0,49356,AL
350079,Other,0,861,AL
360002,Other,0,570,AL
130011,FTTH,0,335,AK
