HocoNum,TechType,HighSpeed,population
130002,DSL,0,26068
130002,FTTH,0,12263
130005,DSL,0,93
130008,DSL,0,53004
130008,FTTH,1,56343
130008,Other,0,20892
130010,DSL,0,10755
130010,Other,0,81428
130011,FTTH,0,80
130012,DSL,0,18443
130012,FTTH,1,56360
130012,Other,0,63163
130017,DSL,0,385
130018,DSL,0,48291
130018,Other,0,23969
130019,FTTH,1,102445
130019,Other,0,619093
130028,DSL,0,285896
130028,FTTH,0,277
130029,DSL,0,12790
130029,Other,0,9699
130031,FTTH,1,9650
130032,DSL,0,6321
130032,FTTH,1,6451
130032,Other,0,4
130034,DOCSIS,0,283
130034,DSL,0,3690
130034,FTTH,0,33300
130034,Other,0,5675
130035,DOCSIS,0,9333
130035,FTTH,1,9333
130036,DSL,0,3004
130036,FTTH,0,3322
130037,DOCSIS,0,53422
130037,DSL,0,15526
130037,FTTH,1,29029
130037,Other,0,14429
130039,DOCSIS,0,19550
130039,DOCSIS,1,21797
130039,FTTH,0,32098
130040,FTTH,0,35185
130043,FTTH,0,741
130044,DOCSIS,0,29279
130044,DSL,0,9761
130044,FTTH,0,1886
130045,DSL,0,5626
130045,FTTH,0,6332
130046,DOCSIS,0,1916
130057,DOCSIS,0,21583
130057,DSL,0,21682
130057,FTTH,0,1200
130057,FTTH,1,717
130058,DSL,0,11896
130058,FTTH,1,13867
130059,FTTH,1,1457
130059,Other,0,442937
130061,Other,0,9792
130062,Other,0,382681
130065,DOCSIS,0,771
130065,DSL,0,4828
130065,Other,0,76387
130066,DSL,0,663
130066,FTTH,0,6109
130067,DSL,0,5197
130067,FTTH,0,2942
130068,DSL,0,30727
130068,FTTH,0,7745
130068,FTTH,1,56744
130069,DSL,0,14839
130070,FTTH,1,11660
130071,DOCSIS,1,987986
130071,DSL,0,49713
130073,FTTH,0,3728
130074,DOCSIS,0,58044
130074,DSL,0,116454
130074,FTTH,0,1548
130074,FTTH,1,31613
130074,Other,0,84171
130077,DSL,0,122849582
130077,FTTH,0,47975
130077,FTTH,1,25004109
130077,Other,0,2743567
130079,DOCSIS,0,191
130079,DOCSIS,1,5412870
130079,DSL,0,28444
130079,FTTH,1,1007322
130081,Other,0,387419
130082,DOCSIS,1,50302
130082,DSL,0,65682
130082,FTTH,1,39399
130083,DSL,0,1692
130084,DOCSIS,0,1191
130086,DOCSIS,0,1066
130086,DSL,0,19686
130086,FTTH,0,2005
130086,FTTH,1,215
130086,Other,0,32744
130087,DSL,0,2506
130087,FTTH,0,380
130090,DSL,0,1180
130090,FTTH,0,172
130090,FTTH,1,766
130090,Other,0,7742
130092,FTTH,0,3011
130093,DOCSIS,0,17242
130093,DSL,0,2198
130093,FTTH,0,22586
130094,FTTH,0,12918
130095,DSL,0,11610
130095,FTTH,0,6617
130095,Other,0,287
130096,DSL,0,1072
130097,DSL,0,17370
130097,FTTH,0,4874
130097,Other,0,143670
130098,FTTH,1,12330
130098,Other,0,141730
130103,DOCSIS,0,1814
130103,Other,0,61446
130104,DOCSIS,0,9215
130104,DSL,0,7735
130104,FTTH,0,1941
130105,Other,0,23496
130107,DSL,0,5128
130108,FTTH,1,27322
130112,DSL,0,95085
130112,FTTH,0,16060
130112,FTTH,1,8712
130114,DSL,0,3570
130114,FTTH,0,2693
130114,Other,0,19254
130115,DOCSIS,0,9552
130115,DSL,0,10358
130115,FTTH,0,5133
130115,Other,0,19514
130116,DSL,0,1809
130116,FTTH,0,131444
130116,Other,0,2956047
130118,DSL,0,2101
130119,DSL,0,374
130119,FTTH,0,658
130120,FTTH,0,11236
130120,Other,0,7107
130122,DSL,0,212242
130122,FTTH,0,933
130122,FTTH,1,352
130122,Other,0,353
130123,DSL,0,19068
130123,FTTH,0,2040
130123,FTTH,1,3154
130123,Other,0,41349
130124,DSL,0,17901
130124,Other,0,59691
130126,DSL,0,2356
130126,FTTH,0,1036
130126,Other,0,20351
130127,DSL,0,44777
130130,DSL,1,31582
130130,FTTH,1,35526
130132,DSL,0,76576
130132,FTTH,0,6894
130132,FTTH,1,4099
130132,Other,0,9976
130133,DSL,0,578
130133,FTTH,0,280
130133,FTTH,1,4358
130133,Other,0,39694
130133,Other,1,58
130134,DSL,0,3798
130136,DSL,0,30548
130136,FTTH,1,11837
130137,DOCSIS,1,821257
130137,FTTH,1,14479
130138,DSL,0,50
130138,FTTH,1,7185
130139,DSL,0,1637
130139,FTTH,0,2902
130140,DSL,0,5289
130140,FTTH,1,10909
130141,DSL,0,4058
130141,FTTH,0,3461
130142,DOCSIS,0,4423
130142,DSL,0,49468
130142,FTTH,1,16641
130144,DOCSIS,0,3374
130144,FTTH,0,8302
130144,Other,0,10268
130146,Other,0,671405
130148,DSL,0,3504
130149,DOCSIS,1,34899
130150,DSL,0,148066
130150,FTTH,1,104118
130151,FTTH,1,18254
130152,DOCSIS,0,14215
130152,DSL,0,12242
130152,FTTH,1,420
130153,DSL,0,10297
130153,FTTH,0,7497
130154,DSL,0,14531
130154,FTTH,1,12660
130154,Other,0,14079
130160,DSL,0,1739
130161,FTTH,1,271
130161,Other,0,50890
130168,DOCSIS,0,8136
130169,DOCSIS,0,234
130169,DSL,0,2906
130169,FTTH,0,2906
130170,DSL,0,3115
130170,FTTH,0,349
130171,DSL,0,352
130171,Other,0,1024
130175,DSL,0,8207
130175,Other,0,63302
130176,DSL,0,58320
130176,DSL,1,66172
130178,FTTH,0,238
130179,DOCSIS,0,1763
130179,DSL,0,1559
130179,FTTH,0,7863
130183,DOCSIS,0,26318
130183,DOCSIS,1,4319880
130183,FTTH,1,4192
130184,DOCSIS,1,22947
130189,DSL,0,8182
130189,FTTH,1,2024
130189,Other,0,3415
130192,DSL,0,5999
130192,FTTH,0,2995
130192,FTTH,1,2
130193,DSL,0,8042
130193,FTTH,0,3250
130193,FTTH,1,5308
130193,Other,0,1957
130195,DSL,0,3072
130196,DSL,0,20547
130196,FTTH,0,1471
130196,FTTH,1,19846
130199,DSL,0,995
130199,FTTH,0,6462
130199,Other,0,1
130201,DSL,0,1225
130201,FTTH,1,1830
130202,DOCSIS,0,48056
130203,DSL,0,2325
130204,FTTH,1,3878
130206,DSL,0,20314
130206,FTTH,0,27674
130206,Other,0,0
130207,DSL,0,1085
130207,FTTH,1,1085
130208,DOCSIS,0,44640
130208,DSL,0,6327
130208,FTTH,0,3675
130208,FTTH,1,2018
130208,Other,0,33192
130210,DSL,0,2615
130218,FTTH,1,40971
130218,Other,0,27027
130223,DSL,0,1108
130224,DSL,0,7196
130224,FTTH,1,1553
130226,DSL,0,10128
130226,FTTH,0,2039
130226,Other,0,12996
130227,DSL,0,7829
130227,FTTH,1,9953
130227,Other,0,415451
130228,DSL,0,42413164
130228,DSL,1,6886991
130228,FTTH,0,588807
130228,FTTH,1,5562748
130228,Other,0,1083
130233,DSL,0,2279
130234,DSL,0,7858
130234,FTTH,1,21828
130234,Other,0,113025
130235,DOCSIS,0,383388
130235,DOCSIS,1,102342639
130235,FTTH,0,132728
130235,FTTH,1,506241
130237,DOCSIS,0,16453
130238,DSL,0,8521
130238,FTTH,0,5472
130239,DSL,0,6020
130239,FTTH,1,11403
130240,DSL,0,16345
130240,FTTH,0,640
130242,DOCSIS,0,18599
130242,DOCSIS,1,77399
130242,DSL,0,40382
130242,FTTH,0,4672
130242,FTTH,1,4874
130243,FTTH,0,6597
130244,DSL,0,24524
130244,DSL,1,1026
130244,FTTH,1,4839
130245,DSL,0,70393
130245,FTTH,1,94
130250,DSL,0,3423
130250,FTTH,0,1304
130250,Other,0,1287
130252,DSL,0,15942
130252,FTTH,0,17347
130254,DOCSIS,0,20168
130254,DSL,0,1427063
130254,FTTH,1,1375465
130258,DSL,0,33290459
130258,FTTH,0,10926625
130259,DSL,0,4182
130259,FTTH,1,7094
130263,DOCSIS,0,13310
130263,DSL,0,7907
130263,FTTH,0,729
130264,DSL,0,61
130264,FTTH,1,20544
130265,DOCSIS,0,4113
130265,DSL,0,10314
130265,FTTH,0,3065
130266,DOCSIS,0,11025
130266,DSL,0,16427
130266,FTTH,0,1540
130266,FTTH,1,3919
130267,DSL,1,1198
130267,FTTH,1,5211
130268,DSL,0,3768
130268,FTTH,0,1868
130269,DOCSIS,0,758
130269,DSL,0,4756
130269,FTTH,0,7429
130270,FTTH,0,2622
130271,DSL,0,21994
130271,FTTH,1,21994
130272,DOCSIS,0,8973
130274,DSL,0,422
130274,FTTH,0,214
130275,DSL,0,13108
130275,FTTH,1,12995
130275,Other,0,28
130278,DOCSIS,0,28277
130278,FTTH,1,1498
130279,FTTH,0,7388
130279,Other,0,105522
130281,DOCSIS,0,29702
130282,DOCSIS,1,25738
130282,FTTH,0,25738
130283,FTTH,0,4851
130285,DSL,0,3541
130285,FTTH,0,4910
130285,Other,0,3541
130287,DSL,0,654
130288,FTTH,1,34831
130289,DOCSIS,0,11881
130289,DSL,0,341
130290,DSL,0,803
130290,FTTH,1,13460
130291,DOCSIS,0,2593
130291,DSL,0,3606
130291,FTTH,0,28
130292,DSL,0,448939
130299,DSL,0,5390
130299,FTTH,0,3644
130300,DSL,0,13046
130300,FTTH,1,20540
130302,FTTH,0,7657
130303,DOCSIS,1,7417
130305,FTTH,1,3221
130307,DSL,0,1214
130307,FTTH,0,2749
130307,Other,0,7887
130309,DOCSIS,0,64
130309,FTTH,0,102
130309,FTTH,1,1373
130309,Other,0,149722
130310,FTTH,0,4623
130311,DSL,0,12613
130311,FTTH,1,2511
130311,Other,0,25463
130312,DSL,0,155
130312,FTTH,0,3296
130314,FTTH,1,12924
130315,DSL,0,18286
130315,FTTH,0,58
130315,FTTH,1,6537
130315,Other,0,47023
130316,Other,0,14780
130317,DOCSIS,0,72073
130317,DOCSIS,1,110493320
130317,FTTH,1,17963
130321,FTTH,0,7821
130322,DOCSIS,1,85543
130324,FTTH,0,463
130324,Other,0,5515
130325,Other,0,3751
130326,DSL,0,2681
130326,Other,0,2509
130327,DSL,0,1515
130327,FTTH,0,2119
130329,DSL,0,8674
130329,DSL,1,99
130329,Other,0,46044
130331,Other,0,225717
130335,DOCSIS,0,185373
130335,DSL,0,4519414
130335,FTTH,0,528972
130335,FTTH,1,436050
130335,Other,0,14585
130337,DOCSIS,1,16470
130337,FTTH,1,36524
130337,Other,0,34521
130338,DSL,0,10520
130338,FTTH,1,55662
130338,Other,0,1100
130340,DOCSIS,0,60799
130343,DSL,0,6358
130344,DSL,0,5646
130344,FTTH,1,5646
130344,Other,0,5646
130345,DSL,0,3961
130345,FTTH,0,1903
130346,DSL,0,3237
130346,FTTH,0,3237
130346,Other,0,2196
130347,FTTH,0,3377
130349,DSL,0,6467
130352,DSL,0,2145
130353,FTTH,0,2505
130353,Other,0,1302
130360,DOCSIS,0,22810
130360,DOCSIS,1,20775517
130360,FTTH,1,1143908
130361,DSL,0,1150
130361,FTTH,0,4059
130362,DSL,0,14239
130362,FTTH,0,19216
130363,DSL,0,3329
130363,FTTH,1,10834
130364,DSL,0,30952
130364,FTTH,1,18959
130366,DSL,0,19707
130366,FTTH,0,5331
130366,FTTH,1,10
130368,DSL,0,736
130369,DSL,0,1119
130369,FTTH,0,5406
130370,DOCSIS,0,821580
130370,DOCSIS,1,18437426
130370,FTTH,1,360134
130374,DSL,0,4207
130374,FTTH,0,4207
130374,Other,0,5940
130375,DSL,0,8853
130375,FTTH,0,3072
130378,DOCSIS,0,3403
130378,DSL,0,2872
130378,FTTH,0,5531
130378,Other,0,5684
130380,DSL,0,11126
130380,FTTH,0,3202
130380,FTTH,1,807
130380,Other,0,1548
130385,DOCSIS,1,51332
130385,DSL,0,14063
130385,Other,0,20963
130386,DSL,0,24308
130386,FTTH,1,7467
130387,FTTH,1,25520
130387,Other,0,1166
130390,DSL,0,3467
130390,FTTH,1,13270
130390,Other,0,13270
130391,DOCSIS,0,12295
130391,DSL,0,3787
130391,FTTH,0,3779
130393,DSL,0,15231
130393,FTTH,0,15231
130395,DSL,0,9291
130396,DSL,0,47130
130396,FTTH,0,12130
130398,DSL,0,5540
130398,FTTH,0,5540
130399,DSL,0,1425
130399,FTTH,0,10831
130400,DSL,0,29927
130400,FTTH,0,28789
130400,Other,0,29255
130401,DSL,0,22676
130401,FTTH,0,203
130401,Other,0,324
130402,Other,0,8714
130405,FTTH,1,19276
130416,DOCSIS,0,10424
130416,DSL,0,10491
130416,FTTH,0,16148
130419,FTTH,1,3474
130420,DSL,0,4809
130420,FTTH,0,1460
130421,DSL,0,2004
130421,FTTH,0,2004
130423,DOCSIS,0,11899
130423,DSL,0,19195
130423,FTTH,1,19458
130425,DSL,0,35233
130425,Other,0,6789
130427,DOCSIS,0,124303
130427,DSL,0,86928
130427,FTTH,0,25168
130427,FTTH,1,1462
130429,DOCSIS,0,69886
130429,Other,0,5929
130431,DSL,0,384
