HocoNum,FTTH 2018,FTTH 2014,changes,total Population 2014,HighSpeed_x,HighPop_x,High 2014,total Population 2018,HighSpeed_y,HighPop_y,High 2018,id,HoldingCompanyName
130002,12263,11428,835,44123,0.0,0.0,0.0,38305,0.0,0.0,0.0,620,"3 Rivers Telephone Cooperative, Inc."
130008,56343,15155,41188,106197,0.0,0.0,0.0,117913,1.0,56343.0,0.4778353531841273,803,Ace Telephone Association
130011,80,315,-235,315,0.0,0.0,0.0,80,0.0,0.0,0.0,1077,"Adak Eagle Enterprises, LLC"
130012,56360,25159,31201,161598,1.0,20286.0,0.125533731853117,75543,1.0,56360.0,0.7460651549448658,245,Adams Telephone Co-Operative
130019,102445,102445,0,870620,1.0,102445.0,0.11766901748179458,635341,1.0,102445.0,0.16124411929971463,1553,"Air Advantage, LLC"
130031,9650,9502,148,9502,1.0,9502.0,1.0,9650,1.0,9650.0,1.0,415,Albany Mutual Telephone Association
130032,6451,3623,2828,11202,0.0,0.0,0.0,11301,1.0,6451.0,0.5708344394301389,643,"Albion Telephone Company, Inc."
130034,33300,29626,3674,35241,0.0,0.0,0.0,41155,0.0,0.0,0.0,1365,"Alenco Communications, Inc."
130035,9333,8728,605,8728,0.0,0.0,0.0,9333,1.0,9333.0,1.0,833,Algona Municipal Utilities
130036,3322,2185,1137,3514,0.0,0.0,0.0,3322,0.0,0.0,0.0,626,"Alhambra-Grantfork Communications, Inc."
130037,29029,13812,15217,28354,0.0,0.0,0.0,81754,1.0,29029.0,0.3550774274041637,237,"All West Communications, Inc."
130039,32098,32098,0,42570,0.0,0.0,0.0,42570,1.0,21797.0,0.5120272492365515,1029,"Allen's TV Cable Service, Inc."
130040,35185,29952,5233,29952,0.0,0.0,0.0,35185,0.0,0.0,0.0,582,"Alliance Communications Cooperative, Inc."
130043,741,728,13,728,0.0,0.0,0.0,741,0.0,0.0,0.0,729,Alma Communications Company
130045,6332,5229,1103,13956,0.0,0.0,0.0,11958,0.0,0.0,0.0,368,"Alpine Communications, LLC"
130057,1917,756,1161,35773,0.0,0.0,0.0,35773,1.0,717.0,0.020043049227070696,1691,"Amery Telcom, Inc."
130058,13867,10283,3584,12064,0.0,0.0,0.0,15474,1.0,13867.0,0.89614837792426,1427,Amherst Telephone Company
130066,6109,4394,1715,5057,0.0,0.0,0.0,6772,0.0,0.0,0.0,466,Arcadia Telephone Cooperative
130070,11660,8227,3433,11566,0.0,0.0,0.0,11660,1.0,11660.0,1.0,1330,"Arkwest Communications, Inc."
130073,3728,3381,347,3381,0.0,0.0,0.0,3728,0.0,0.0,0.0,240,The Arthur Mutual Telephone Company
130074,33161,26779,6382,225172,1.0,26779.0,0.11892686479668875,229432,1.0,31613.0,0.13778810279298442,1825,Arvig
130077,25052084,1842759,23209325,123536297,1.0,315911.0,0.0025572322278690288,125292836,1.0,25004109.0,0.19956535264314712,1895,"AT&T, Inc."
130079,1007322,2632378,-1625056,4943530,1.0,4841203.0,0.979300823500616,5493740,1.0,5486697.0,0.9987179953911179,1613,"Controvision, Inc."
130082,39399,20755,18644,76341,1.0,20755.0,0.27187225737153037,90405,1.0,78491.0,0.8682152535811073,114,Atlantic Telephone Membership Corporation
130086,2220,0,2220,45017,0.0,0.0,0.0,44912,1.0,215.0,0.004787139294620591,1641,Axxis Communications/Gorge Networks
130090,938,165,773,8919,0.0,0.0,0.0,8942,1.0,766.0,0.08566316260344442,855,"Baca Valley Telephone Company, Inc."
130092,3011,1995,1016,1995,0.0,0.0,0.0,3011,0.0,0.0,0.0,110,"Baldwin Nashville Telephone Company, Inc."
130093,22586,22410,176,30152,0.0,0.0,0.0,30328,0.0,0.0,0.0,723,"Baldwin Telecom, Inc."
130094,12918,7929,4989,12918,0.0,0.0,0.0,12918,0.0,0.0,0.0,1024,"Ballard Rural Telephone Cooperative Corporation, Inc."
130095,6617,1471,5146,8781,0.0,0.0,0.0,18514,0.0,0.0,0.0,1636,Baraga Telephone Company
130097,4874,1879,2995,89501,0.0,0.0,0.0,145447,0.0,0.0,0.0,1409,Barry County Services Company
130098,12330,10530,1800,94679,0.0,0.0,0.0,141730,1.0,12330.0,0.08699640160869258,694,Bascom Mutual Telephone Company
