HocoNum,FTTH 2018,FTTH 2014,changes,total Population 2014,HighSpeed_x,HighPop_x,High 2014,total Population 2018,HighSpeed_y,HighPop_y,High 2018,id,HoldingCompanyName
130002,12263.0,11428.0,835.0,44123,0.0,0.0,0.0,38305,0.0,0.0,0.0,620,"3 Rivers Telephone Cooperative, Inc."
130008,56343.0,15155.0,41188.0,106197,0.0,0.0,0.0,117913,1.0,56343.0,0.4778353531841273,803,Ace Telephone Association
130011,80.0,315.0,-235.0,315,0.0,0.0,0.0,80,0.0,0.0,0.0,1077,"Adak Eagle Enterprises, LLC"
130012,56360.0,25159.0,31201.0,161598,1.0,20286.0,0.125533731853117,75543,1.0,56360.0,0.7460651549448658,245,Adams Telephone Co-Operative
130019,102445.0,102445.0,0.0,870620,1.0,102445.0,0.11766901748179458,635341,1.0,102445.0,0.16124411929971463,1553,"Air Advantage, LLC"
130028,277.0,0.0,277.0,288704,0.0,0.0,0.0,286173,0.0,0.0,0.0,450,"Alaska Communications Systems Holdings, Inc."
130031,9650.0,9502.0,148.0,9502,1.0,9502.0,1.0,9650,1.0,9650.0,1.0,415,Albany Mutual Telephone Association
130032,6451.0,3623.0,2828.0,11202,0.0,0.0,0.0,11301,1.0,6451.0,0.5708344394301389,643,"Albion Telephone Company, Inc."
130034,33300.0,29626.0,3674.0,35241,0.0,0.0,0.0,41155,0.0,0.0,0.0,1365,"Alenco Communications, Inc."
130035,9333.0,8728.0,605.0,8728,0.0,0.0,0.0,9333,1.0,9333.0,1.0,833,Algona Municipal Utilities
130036,3322.0,2185.0,1137.0,3514,0.0,0.0,0.0,3322,0.0,0.0,0.0,626,"Alhambra-Grantfork Communications, Inc."
130037,29029.0,13812.0,15217.0,28354,0.0,0.0,0.0,81754,1.0,29029.0,0.3550774274041637,237,"All West Communications, Inc."
130039,32098.0,32098.0,0.0,42570,0.0,0.0,0.0,42570,1.0,21797.0,0.5120272492365515,1029,"Allen's TV Cable Service, Inc."
130040,35185.0,29952.0,5233.0,29952,0.0,0.0,0.0,35185,0.0,0.0,0.0,582,"Alliance Communications Cooperative, Inc."
130043,741.0,728.0,13.0,728,0.0,0.0,0.0,741,0.0,0.0,0.0,729,Alma Communications Company
130044,1886.0,0.0,1886.0,38382,0.0,0.0,0.0,38653,0.0,0.0,0.0,379,"Alma Telecom, Inc."
130045,6332.0,5229.0,1103.0,13956,0.0,0.0,0.0,11958,0.0,0.0,0.0,368,"Alpine Communications, LLC"
130057,1917.0,756.0,1161.0,35773,0.0,0.0,0.0,35773,1.0,717.0,0.020043049227070696,1691,"Amery Telcom, Inc."
130058,13867.0,10283.0,3584.0,12064,0.0,0.0,0.0,15474,1.0,13867.0,0.89614837792426,1427,Amherst Telephone Company
130059,1457.0,0.0,1457.0,452737,0.0,0.0,0.0,442937,1.0,1457.0,0.003289406845668797,289,"Amplex Electric, Inc."
130066,6109.0,4394.0,1715.0,5057,0.0,0.0,0.0,6772,0.0,0.0,0.0,466,Arcadia Telephone Cooperative
130067,2942.0,0.0,2942.0,8139,0.0,0.0,0.0,8139,0.0,0.0,0.0,334,"Arctic Slope Telephone Association Cooperative, Inc."
130068,64489.0,0.0,64489.0,30689,0.0,0.0,0.0,87649,1.0,56744.0,0.647400426701959,1214,West Kentucky Rural Telephone Cooperative Corp. Inc.
130070,11660.0,8227.0,3433.0,11566,0.0,0.0,0.0,11660,1.0,11660.0,1.0,1330,"Arkwest Communications, Inc."
130073,3728.0,3381.0,347.0,3381,0.0,0.0,0.0,3728,0.0,0.0,0.0,240,The Arthur Mutual Telephone Company
130074,33161.0,26779.0,6382.0,225172,1.0,26779.0,0.11892686479668875,229432,1.0,31613.0,0.13778810279298442,1825,Arvig
130077,25052084.0,1842759.0,23209325.0,123536297,1.0,315911.0,0.0025572322278690288,125292836,1.0,25004109.0,0.19956535264314712,1895,"AT&T, Inc."
130079,1007322.0,2632378.0,-1625056.0,4943530,1.0,4841203.0,0.979300823500616,5493740,1.0,5486697.0,0.9987179953911179,1613,"Controvision, Inc."
130082,39399.0,20755.0,18644.0,76341,1.0,20755.0,0.27187225737153037,90405,1.0,78491.0,0.8682152535811073,114,Atlantic Telephone Membership Corporation
130086,2220.0,0.0,2220.0,45017,0.0,0.0,0.0,44912,1.0,215.0,0.004787139294620591,1641,Axxis Communications/Gorge Networks
130087,380.0,0.0,380.0,2506,0.0,0.0,0.0,2747,0.0,0.0,0.0,402,Ayersville Telephone Company
130090,938.0,165.0,773.0,8919,0.0,0.0,0.0,8942,1.0,766.0,0.08566316260344442,855,"Baca Valley Telephone Company, Inc."
130092,3011.0,1995.0,1016.0,1995,0.0,0.0,0.0,3011,0.0,0.0,0.0,110,"Baldwin Nashville Telephone Company, Inc."
130093,22586.0,22410.0,176.0,30152,0.0,0.0,0.0,30328,0.0,0.0,0.0,723,"Baldwin Telecom, Inc."
130094,12918.0,7929.0,4989.0,12918,0.0,0.0,0.0,12918,0.0,0.0,0.0,1024,"Ballard Rural Telephone Cooperative Corporation, Inc."
130095,6617.0,1471.0,5146.0,8781,0.0,0.0,0.0,18514,0.0,0.0,0.0,1636,Baraga Telephone Company
130097,4874.0,1879.0,2995.0,89501,0.0,0.0,0.0,145447,0.0,0.0,0.0,1409,Barry County Services Company
130098,12330.0,10530.0,1800.0,94679,0.0,0.0,0.0,141730,1.0,12330.0,0.08699640160869258,694,Bascom Mutual Telephone Company
130104,1941.0,1229.0,712.0,17908,0.0,0.0,0.0,17942,0.0,0.0,0.0,1446,Beaver Creek Cooperative Telephone Company
130108,27322.0,22247.0,5075.0,22247,1.0,22247.0,1.0,27322,1.0,27322.0,1.0,24,BEK Communications Cooperative
130112,24772.0,16060.0,8712.0,102899,0.0,0.0,0.0,119857,1.0,8712.0,0.07268661822004556,36,Ben Lomand
130114,2693.0,2269.0,424.0,17490,0.0,0.0,0.0,19967,0.0,0.0,0.0,284,BW Telcom
130115,5133.0,5690.0,-557.0,27914,0.0,0.0,0.0,27424,0.0,0.0,0.0,1468,Benton Cooperative Telephone Company
130116,131444.0,3256.0,128188.0,2982031,0.0,0.0,0.0,2978017,0.0,0.0,0.0,1071,Benton Ridge Telephone Company
130119,658.0,0.0,658.0,1032,0.0,0.0,0.0,1032,0.0,0.0,0.0,111,Bergen Telephone Company
130120,11236.0,8646.0,2590.0,8646,0.0,0.0,0.0,11236,0.0,0.0,0.0,485,"Bernard Telephone Company, Inc."
130122,1285.0,9997.0,-8712.0,266070,1.0,4282.0,0.01609350922689518,212302,1.0,352.0,0.001658015468530678,1417,Biddeford Internet Corporation
130123,5194.0,434.0,4760.0,42217,0.0,0.0,0.0,42394,1.0,3154.0,0.07439732037552484,1706,"Nevill Holdings, Inc."
130126,1036.0,0.0,1036.0,23535,0.0,0.0,0.0,23567,0.0,0.0,0.0,1660,"Bijou Telephone Co-Op Association, Inc."
130130,35526.0,9010.0,26516.0,33981,1.0,33981.0,1.0,43103,1.0,43103.0,1.0,183,BTC Broadband
130132,10993.0,0.0,10993.0,54439,0.0,0.0,0.0,86726,1.0,4099.0,0.04726379632405507,1421,"Blackfoot Telephone Cooperative, Inc."
130133,4638.0,931.0,3707.0,34196,0.0,0.0,0.0,40473,1.0,4416.0,0.1091097768882959,1582,Blanca Telephone Company
130136,11837.0,3000.0,8837.0,30555,0.0,0.0,0.0,30548,1.0,11837.0,0.3874885426214482,373,Bledsoe Telephone Cooperative Inc.
130137,14479.0,0.0,14479.0,809905,1.0,550343.0,0.6795154987313327,821257,1.0,821257.0,1.0,306,"Block Communications, Inc."
130138,7185.0,7080.0,105.0,7790,1.0,7080.0,0.9088575096277278,7185,1.0,7185.0,1.0,725,Bloomer Telephone Company
130139,2902.0,79.0,2823.0,1619,0.0,0.0,0.0,4484,0.0,0.0,0.0,613,Bloomingdale Home Telephone Company
130140,10909.0,10909.0,0.0,16033,0.0,0.0,0.0,16033,1.0,10909.0,0.6804091561155118,809,Bloomingdale Telephone Company Inc
130141,3461.0,2699.0,762.0,3469,0.0,0.0,0.0,4058,0.0,0.0,0.0,1778,Blossom Telephone Co.
130142,16641.0,13282.0,3359.0,42312,0.0,0.0,0.0,49985,1.0,16641.0,0.3329198759627888,863,Rural Communications Holding Corporation
130144,8302.0,8282.0,20.0,21076,0.0,0.0,0.0,18096,0.0,0.0,0.0,718,"Blue Valley Tele-Communications, Inc."
130150,104118.0,88004.0,16114.0,148066,0.0,0.0,0.0,148103,1.0,104118.0,0.7030107425237841,523,Brandenburg Communications Corp.
130151,18254.0,17207.0,1047.0,17207,0.0,0.0,0.0,18254,1.0,18254.0,1.0,1479,"Strickland Communications, Inc."
130152,420.0,0.0,420.0,12564,0.0,0.0,0.0,16840,1.0,420.0,0.02494061757719715,1025,Brazoria Telephone Company
130153,7497.0,0.0,7497.0,10298,0.0,0.0,0.0,10297,0.0,0.0,0.0,748,"Brazos Telephone Cooperative, Inc."
130154,12660.0,12660.0,0.0,19490,1.0,12660.0,0.6495638789122627,18753,1.0,12660.0,0.6750919852823548,1678,Breda Telephone Corp.
130161,271.0,0.0,271.0,284110,0.0,0.0,0.0,50890,1.0,271.0,0.0053252112399292595,1474,Broadband Corp.
130169,2906.0,0.0,2906.0,5013,0.0,0.0,0.0,3031,0.0,0.0,0.0,512,Brooklyn Mutual Telecommunications Cooperative
130170,349.0,349.0,0.0,3115,0.0,0.0,0.0,3115,0.0,0.0,0.0,1692,"Bruce Telephone Company, Inc."
130178,238.0,69.0,169.0,69,0.0,0.0,0.0,238,0.0,0.0,0.0,126,"Burke's Garden Telephone Co., Inc."
130179,7863.0,4169.0,3694.0,9605,0.0,0.0,0.0,11089,0.0,0.0,0.0,318,Butler-Bremer Mutual Telephone Company
130183,4192.0,0.0,4192.0,3270756,0.0,0.0,0.0,4346198,1.0,4319880.0,0.9939445924921045,716,"Avenue Broadband Communications, LLC d/b/a NewWave Communications"
130189,2024.0,1847.0,177.0,10774,0.0,0.0,0.0,10814,1.0,2024.0,0.18716478638801554,241,Calaveras Communications Company
130192,2997.0,0.0,2997.0,4925,0.0,0.0,0.0,7849,1.0,2.0,0.00025480952987641737,1392,"Cambridge TelCom, Inc."
130193,8558.0,2522.0,6036.0,9793,0.0,0.0,0.0,15690,1.0,5308.0,0.3383046526449968,1390,"Cambridge Telephone Company, Inc."
130196,21317.0,15043.0,6274.0,26497,1.0,14206.0,0.5361361663584556,29505,1.0,19846.0,0.6726317573292663,55,Canby Telephone Association
130199,6462.0,2366.0,4096.0,8637,0.0,0.0,0.0,7458,0.0,0.0,0.0,768,"Cap Rock Telephone Cooperative, Inc"
130201,1830.0,0.0,1830.0,3055,0.0,0.0,0.0,3055,1.0,1830.0,0.5990180032733224,1656,Carnegie Telephone Company
130204,3878.0,2875.0,1003.0,4051,0.0,0.0,0.0,3878,1.0,3878.0,1.0,489,Cascade Communications Company
