HocoNum,TechType,HighSpeed,population,HoldingCompanyName
130002,DSL,0,31408,"3 Rivers Telephone Cooperative, Inc."
130002,FTTH,0,11428,"3 Rivers Telephone Cooperative, Inc."
130002,Other,0,12895,"3 Rivers Telephone Cooperative, Inc."
130005,DSL,0,93,"Absaraka Cooperative Telephone Co., Inc."
130008,DSL,0,88609,Ace Telephone Association
130008,FTTH,0,15155,Ace Telephone Association
130008,Other,0,22543,Ace Telephone Association
130010,DSL,0,60100,"Action Communications, Inc."
130010,Other,0,86775,"Action Communications, Inc."
130011,FTTH,0,315,"Adak Eagle Enterprises, LLC"
130012,DSL,0,23688,Adams Telephone Co-Operative
130012,FTTH,1,25159,Adams Telephone Co-Operative
130012,Other,0,161572,Adams Telephone Co-Operative
130017,DSL,0,347,Agate Mutual Telephone Cooperative Association
130018,DSL,0,48291,"Agri-Valley Communications, Inc."
130019,FTTH,1,102445,"Air Advantage, LLC"
130019,Other,0,865027,"Air Advantage, LLC"
130028,DSL,0,288704,"Alaska Communications Systems Holdings, Inc."
130029,DSL,0,12790,"Alaska Power & Telephone, Inc."
130029,Other,0,9699,"Alaska Power & Telephone, Inc."
130031,FTTH,1,9502,Albany Mutual Telephone Association
130032,DSL,0,9853,"Albion Telephone Company, Inc."
130032,FTTH,0,3623,"Albion Telephone Company, Inc."
130034,DOCSIS,0,283,"Alenco Communications, Inc."
130034,DSL,0,5129,"Alenco Communications, Inc."
130034,FTTH,0,29626,"Alenco Communications, Inc."
130034,Other,0,257,"Alenco Communications, Inc."
130035,DOCSIS,0,8728,Algona Municipal Utilities
130035,FTTH,0,8728,Algona Municipal Utilities
130036,DSL,0,3514,"Alhambra-Grantfork Communications, Inc."
130036,FTTH,0,2185,"Alhambra-Grantfork Communications, Inc."
130037,DOCSIS,0,12576,"All West Communications, Inc."
130037,DSL,0,14834,"All West Communications, Inc."
130037,FTTH,0,13812,"All West Communications, Inc."
130037,Other,0,14429,"All West Communications, Inc."
130039,DOCSIS,0,41347,"Allen's TV Cable Service, Inc."
130039,FTTH,0,32098,"Allen's TV Cable Service, Inc."
130040,FTTH,0,29952,"Alliance Communications Cooperative, Inc."
