HocoNum,HighSpeed,population,state
130068,0,23078,AL
130077,0,2682717,AL
130077,1,430288,AL
130127,0,504,AL
130137,0,3063,AL
130183,1,112278,AL
130210,0,2615,AL
130228,0,664516,AL
130228,1,442,AL
130235,0,11334,AL
130235,1,2209766,AL
130258,0,53170,AL
130317,0,372,AL
130317,1,842770,AL
130335,0,4450,AL
130587,0,595257,AL
130597,0,26711,AL
130804,0,37578,AL
130804,1,622909,AL
130844,0,15802,AL
130851,0,4044,AL
130861,0,5629,AL
130902,1,17003,AL
131038,0,12252,AL
131086,0,3216,AL
131302,1,41533,AL
131310,0,58213,AL
131311,0,15907,AL
131404,0,50867,AL
131413,0,74666,AL
131413,1,8986,AL
131480,0,69172,AL
131480,1,564618,AL
150221,0,1759,AL
150292,0,11063,AL
150296,0,65338,AL
160157,0,12489,AL
190123,0,12,AL
190308,1,83932,AL
190341,0,1476,AL
190367,0,38382,AL
190380,0,16314,AL
190380,1,126698,AL
230029,0,19884,AL
240041,1,60387,AL
240085,0,14570,AL
250020,0,12427,AL
250035,0,1463,AL
250035,1,688,AL
250087,0,697,AL
260000,0,14210,AL
260000,1,69057,AL
290028,1,26401,AL
300072,0,762,AL
300164,0,26,AL
310035,0,13801,AL
320042,0,44954,AL
320094,0,2928,AL
330084,0,132449,AL
340015,0,0,AL
340087,0,1640,AL
350060,0,54218,AL
350067,0,49356,AL
350079,0,5076,AL
360002,0,559,AL
370016,0,8154,AL
370089,0,2112,AL
370089,1,3294,AL
370150,0,12386,AL
130011,0,73,AK
130028,0,439928,AK
130029,0,14375,AK
130035,1,0,AK
130067,0,8139,AK
130077,0,247,AK
130160,0,1739,AK
130275,0,136,AK
130275,1,12995,AK
130349,0,6472,AK
130352,0,2145,AK
130534,0,48882,AK
130534,1,535340,AK
130791,0,175252,AK
130791,1,23806,AK
130964,0,2381,AK
131226,0,20778,AK
140084,0,12283,AK
150229,0,1539,AK
190281,0,3635,AK
260068,0,829,AK
300020,0,189294,AK
300164,0,2,AK
330010,0,423,AK
330010,1,2,AK
330083,0,510,AK
340079,0,2315,AK
350036,0,1859,AK
350037,0,81,AK
360064,0,5403,AK
130081,0,100698,AZ
130103,0,60956,AZ
130127,0,0,AZ
130132,0,83,AZ
130183,1,253510,AZ
130206,0,3031,AZ
130228,0,4018420,AZ
130228,1,1349617,AZ
130235,1,177818,AZ
130258,0,312607,AZ
130317,1,334219,AZ
130360,0,22826,AZ
130360,1,4201712,AZ
130370,0,14590,AZ
130370,1,283638,AZ
130509,0,1309,AZ
130542,0,19170,AZ
130804,0,5474,AZ
130804,1,175727,AZ
130831,0,5536,AZ
131016,0,1541264,AZ
131043,0,1591,AZ
131043,1,8042,AZ
131057,0,11349,AZ
131057,1,50,AZ
131148,0,6208,AZ
131167,0,201,AZ
131167,1,68665,AZ
131191,0,1010864,AZ
131208,0,17733,AZ
131219,0,2100,AZ
131219,1,7868,AZ
131310,0,9796,AZ
131357,0,5528,AZ
131411,0,17679,AZ
131411,1,16987,AZ
140043,0,9575,AZ
170054,0,2059,AZ
190008,0,824,AZ
190155,0,327,AZ
190192,0,23,AZ
190428,0,9983,AZ
220002,0,74,AZ
220013,0,17283,AZ
230021,0,114,AZ
240009,0,171925,AZ
250009,0,297029,AZ
260050,0,60720,AZ
270101,0,54948,AZ
270115,0,3653,AZ
280026,0,12621,AZ
280035,0,26189,AZ
290050,0,458,AZ
290057,0,8136,AZ
290083,0,6202,AZ
300019,0,41382,AZ
300063,0,3560311,AZ
300069,0,266,AZ
310014,0,0,AZ
310015,1,1533,AZ
310084,0,7410,AZ
320051,0,21697,AZ
330004,0,15870,AZ
330045,0,6150,AZ
340015,0,159,AZ
350046,0,6473,AZ
350105,0,13748,AZ
360022,0,29211,AZ
370028,1,1971,AZ
370138,0,0,AZ
370151,1,237,AZ
130069,0,14839,AR
130070,0,202,AR
130070,1,11458,AR
130077,0,1535721,AR
130077,1,94555,AR
130124,0,28,AR
130127,0,684,AR
130132,0,0,AR
130183,0,17699,AR
130183,1,36971,AR
130224,0,7196,AR
130224,1,1553,AR
130228,0,525961,AR
130228,1,208,AR
130317,1,384698,AR
130340,0,60799,AR
130360,1,579892,AR
130370,0,75342,AR
130370,1,422657,AR
130386,0,20238,AR
130386,1,6830,AR
130427,0,98920,AR
130427,1,878,AR
130492,0,62044,AR
130497,1,138387,AR
130725,1,4125,AR
130768,0,4227,AR
130768,1,5328,AR
130772,0,2852,AR
130882,0,9738,AR
130882,1,7710,AR
130939,1,3,AR
131108,0,1037,AR
131169,0,800,AR
131177,0,1311,AR
131214,1,2370,AR
131232,0,6483,AR
131232,1,13431,AR
131362,0,11327,AR
131413,0,254743,AR
131413,1,2243,AR
131518,0,24496,AR
131518,1,19697,AR
150206,0,10540,AR
150206,1,26391,AR
150221,0,36,AR
150334,0,196202,AR
180041,0,28125,AR
190053,0,7251,AR
210092,0,94945,AR
220008,0,937,AR
230021,0,67943,AR
230062,0,232236,AR
230074,0,6894,AR
230074,1,312,AR
260019,0,797,AR
260056,1,27563,AR
270012,0,212891,AR
270016,0,2969,AR
270090,0,58618,AR
270090,1,1125,AR
270096,0,1345,AR
300059,0,16685,AR
300184,0,21928,AR
340008,1,12322,AR
350122,0,75,AR
360010,0,33284,AR
360065,1,35944,AR
360109,0,5342,AR
370020,0,66816,AR
370026,0,28807,AR
130062,0,391311,CA
130077,0,23355121,CA
130077,1,3082899,CA
130103,0,16980,CA
130127,0,119,CA
130171,0,1316,CA
130189,0,10814,CA
130202,0,0,CA
130228,0,21,CA
130235,0,72577,CA
130235,1,19379199,CA
130258,0,8630215,CA
130278,0,28472,CA
130278,1,1303,CA
130317,0,11234,CA
130317,1,11971655,CA
130335,0,581915,CA
130335,1,24739,CA
130360,1,3211452,CA
130370,0,4577,CA
130370,1,218524,CA
130509,0,16,CA
130804,0,4952,CA
130804,1,175032,CA
130967,0,361891,CA
131057,0,16755,CA
131173,0,41071,CA
131186,0,35733,CA
131195,0,7631,CA
131207,0,111811,CA
131310,0,9660,CA
131400,0,55621,CA
131400,1,782,CA
131404,0,29028,CA
131416,0,2967,CA
131421,0,29160,CA
131421,1,6049,CA
131441,0,42138,CA
131454,0,1361,CA
131454,1,1053568,CA
131473,0,3779,CA
140048,0,80,CA
150292,0,38228,CA
160127,0,26444,CA
160141,0,13433,CA
160141,1,2508,CA
160157,1,17834,CA
190002,0,181178,CA
190008,0,35,CA
190075,0,3714,CA
190107,0,211725,CA
190123,0,282681,CA
190155,0,1433,CA
190172,0,13700,CA
190192,0,490,CA
190311,0,1316602,CA
190425,0,2525033,CA
190425,1,397564,CA
200020,0,1088413,CA
200041,0,784886,CA
200057,0,158,CA
220002,0,7405,CA
220002,1,2,CA
220031,0,1305,CA
220058,0,9307,CA
220075,0,11439,CA
230021,0,533,CA
240014,0,13403,CA
240036,0,2576,CA
240041,0,37584,CA
240041,1,97504,CA
240055,0,302,CA
240055,1,1542,CA
260007,1,1355,CA
260050,0,92,CA
260052,0,20240,CA
260052,1,1097,CA
270006,0,80986,CA
270018,0,5877,CA
270020,0,401050,CA
270051,0,16860,CA
270073,0,37222,CA
280024,0,913,CA
280026,0,972,CA
280042,0,87142,CA
280057,0,469278,CA
280057,1,1086,CA
280075,0,623,CA
280078,0,2985,CA
290065,0,106,CA
290077,0,0,CA
290088,0,1072654,CA
290108,0,2743,CA
290114,0,962,CA
290123,0,819,CA
290123,1,17,CA
