HocoNum,TechType,HighSpeed,population,HoldingCompanyName
130002,DSL,0,26068,"3 Rivers Telephone Cooperative, Inc."
130002,FTTH,0,12263,"3 Rivers Telephone Cooperative, Inc."
130005,DSL,0,93,"Absaraka Cooperative Telephone Co., Inc."
130008,DSL,0,53004,Ace Telephone Association
130008,FTTH,1,56343,Ace Telephone Association
130008,Other,0,20892,Ace Telephone Association
130010,DSL,0,10755,"Action Communications, Inc."
130010,Other,0,81428,"Action Communications, Inc."
130011,FTTH,0,80,"Adak Eagle Enterprises, LLC"
130012,DSL,0,18443,Adams Telephone Co-Operative
130012,FTTH,1,56360,Adams Telephone Co-Operative
130012,Other,0,63163,Adams Telephone Co-Operative
130017,DSL,0,385,Agate Mutual Telephone Cooperative Association
130018,DSL,0,48291,"Agri-Valley Communications, Inc."
130018,Other,0,23969,"Agri-Valley Communications, Inc."
130019,FTTH,1,102445,"Air Advantage, LLC"
130019,Other,0,619093,"Air Advantage, LLC"
130028,DSL,0,285896,"Alaska Communications Systems Holdings, Inc."
130028,FTTH,0,277,"Alaska Communications Systems Holdings, Inc."
130029,DSL,0,12790,"Alaska Power & Telephone, Inc."
130029,Other,0,9699,"Alaska Power & Telephone, Inc."
130031,FTTH,1,9650,Albany Mutual Telephone Association
130032,DSL,0,6321,"Albion Telephone Company, Inc."
130032,FTTH,1,6451,"Albion Telephone Company, Inc."
130032,Other,0,4,"Albion Telephone Company, Inc."
130034,DOCSIS,0,283,"Alenco Communications, Inc."
130034,DSL,0,3690,"Alenco Communications, Inc."
130034,FTTH,0,33300,"Alenco Communications, Inc."
130034,Other,0,5675,"Alenco Communications, Inc."
130035,DOCSIS,0,9333,Algona Municipal Utilities
130035,FTTH,1,9333,Algona Municipal Utilities
130036,DSL,0,3004,"Alhambra-Grantfork Communications, Inc."
130036,FTTH,0,3322,"Alhambra-Grantfork Communications, Inc."
130037,DOCSIS,0,53422,"All West Communications, Inc."
130037,DSL,0,15526,"All West Communications, Inc."
130037,FTTH,1,29029,"All West Communications, Inc."
130037,Other,0,14429,"All West Communications, Inc."
130039,DOCSIS,1,41347,"Allen's TV Cable Service, Inc."
130039,FTTH,0,32098,"Allen's TV Cable Service, Inc."
130040,FTTH,0,35185,"Alliance Communications Cooperative, Inc."
130043,FTTH,0,741,Alma Communications Company
130044,DOCSIS,0,29279,"Alma Telecom, Inc."
130044,DSL,0,9761,"Alma Telecom, Inc."
130044,FTTH,0,1886,"Alma Telecom, Inc."
130045,DSL,0,5626,"Alpine Communications, LLC"
130045,FTTH,0,6332,"Alpine Communications, LLC"
130046,DOCSIS,0,1916,Alta Municipal Utilities
130057,DOCSIS,0,21583,"Amery Telcom, Inc."
130057,DSL,0,21682,"Amery Telcom, Inc."
130057,FTTH,1,1917,"Amery Telcom, Inc."
130058,DSL,0,11896,Amherst Telephone Company
130058,FTTH,1,13867,Amherst Telephone Company
130059,FTTH,1,1457,"Amplex Electric, Inc."
130059,Other,0,442937,"Amplex Electric, Inc."
130061,Other,0,9792,Ansteorria Inc.
130062,Other,0,382681,"Antelecom, Inc."
130065,DOCSIS,0,771,Arapahoe Telephone Company
130065,DSL,0,4828,Arapahoe Telephone Company
130065,Other,0,76387,Arapahoe Telephone Company
130066,DSL,0,663,Arcadia Telephone Cooperative
130066,FTTH,0,6109,Arcadia Telephone Cooperative
130067,DSL,0,5197,"Arctic Slope Telephone Association Cooperative, Inc."
130067,FTTH,0,2942,"Arctic Slope Telephone Association Cooperative, Inc."
130068,DSL,0,30727,"Synergy Technology Partners, Inc."
130068,FTTH,1,64489,"Synergy Technology Partners, Inc."
130069,DSL,0,14839,"Arkansas Telephone Company, Inc."
130070,FTTH,1,11660,"Arkwest Communications, Inc."
130071,DOCSIS,1,987986,"Armstrong Holdings, Inc."
130071,DSL,0,49713,"Armstrong Holdings, Inc."
130073,FTTH,0,3728,The Arthur Mutual Telephone Company
130074,DOCSIS,0,58044,"Arvig Enterprises, Inc."
130074,DSL,0,116454,"Arvig Enterprises, Inc."
130074,FTTH,1,33161,"Arvig Enterprises, Inc."
130074,Other,0,84171,"Arvig Enterprises, Inc."
130077,DSL,0,122849582,AT&T Inc.
130077,FTTH,1,25052084,AT&T Inc.
130077,Other,0,2743567,AT&T Inc.
130079,DOCSIS,1,5413061,ABRY Partners
130079,DSL,0,28444,ABRY Partners
130079,FTTH,1,1007322,ABRY Partners
130081,Other,0,387419,Atlantic Tele-Network
130082,DOCSIS,1,50302,Atlantic Telephone Membership Corporation
130082,DSL,0,65682,Atlantic Telephone Membership Corporation
130082,FTTH,1,39399,Atlantic Telephone Membership Corporation
130083,DSL,0,1692,"Atlas Telephone Company, Inc."
130084,DOCSIS,0,1191,"Atwood Cable Systems, Inc."
130086,DOCSIS,0,1066,Axxis Communications/Gorge Networks
130086,DSL,0,19686,Axxis Communications/Gorge Networks
130086,FTTH,1,2220,Axxis Communications/Gorge Networks
130086,Other,0,32744,Axxis Communications/Gorge Networks
130087,DSL,0,2506,Ayersville Telephone Company
130087,FTTH,0,380,Ayersville Telephone Company
130090,DSL,0,1180,"Baca Valley Telephone Company, Inc."
130090,FTTH,1,938,"Baca Valley Telephone Company, Inc."
130090,Other,0,7742,"Baca Valley Telephone Company, Inc."
130092,FTTH,0,3011,"Baldwin Nashville Telephone Company, Inc."
130093,DOCSIS,0,17242,"Baldwin Telecom, Inc."
130093,DSL,0,2198,"Baldwin Telecom, Inc."
130093,FTTH,0,22586,"Baldwin Telecom, Inc."
130094,FTTH,0,12918,"Ballard Rural Telephone Cooperative Corporation, Inc."
130095,DSL,0,11610,Baraga Telephone Company
130095,FTTH,0,6617,Baraga Telephone Company
130095,Other,0,287,Baraga Telephone Company
130096,DSL,0,1072,Barnes City Cooperative Telephone Company
130097,DSL,0,17370,Barry County Services Company
130097,FTTH,0,4874,Barry County Services Company
130097,Other,0,143670,Barry County Services Company
130098,FTTH,1,12330,Bascom Mutual Telephone Company
130098,Other,0,141730,Bascom Mutual Telephone Company
130103,DOCSIS,0,1814,"Beamspeed, L.L.C."
130103,Other,0,61446,"Beamspeed, L.L.C."
130104,DOCSIS,0,9215,Beaver Creek Cooperative Telephone Company
130104,DSL,0,7735,Beaver Creek Cooperative Telephone Company
130104,FTTH,0,1941,Beaver Creek Cooperative Telephone Company
130105,Other,0,23496,"Bee Creek Communications, Inc."
130107,DSL,0,5128,"Beggs Telephone Company, Inc."
130108,FTTH,1,27322,BEK Communications Cooperative
130112,DSL,0,95085,Ben Lomand
130112,FTTH,1,24772,Ben Lomand
130114,DSL,0,3570,BW Telcom
130114,FTTH,0,2693,BW Telcom
130114,Other,0,19254,BW Telcom
130115,DOCSIS,0,9552,Benton Cooperative Telephone Company
130115,DSL,0,10358,Benton Cooperative Telephone Company
130115,FTTH,0,5133,Benton Cooperative Telephone Company
130115,Other,0,19514,Benton Cooperative Telephone Company
130116,DSL,0,1809,Benton Ridge Telephone Company
130116,FTTH,0,131444,Benton Ridge Telephone Company
130116,Other,0,2956047,Benton Ridge Telephone Company
130118,DSL,0,2101,Beresford Municipal Telephone Company
130119,DSL,0,374,Bergen Telephone Company
130119,FTTH,0,658,Bergen Telephone Company
130120,FTTH,0,11236,"Bernard Telephone Company, Inc."
130120,Other,0,7107,"Bernard Telephone Company, Inc."
130122,DSL,0,212242,Biddeford Internet Corporation
130122,FTTH,1,1285,Biddeford Internet Corporation
130122,Other,0,353,Biddeford Internet Corporation
130123,DSL,0,19068,"Big Bend Telephone Co., Inc."
130123,FTTH,1,5194,"Big Bend Telephone Co., Inc."
130123,Other,0,41349,"Big Bend Telephone Co., Inc."
130124,DSL,0,17901,"Big River Telephone, LLC"
130124,Other,0,59691,"Big River Telephone, LLC"
130126,DSL,0,2356,"Bijou Telephone Co-Op Association, Inc."
130126,FTTH,0,1036,"Bijou Telephone Co-Op Association, Inc."
130126,Other,0,20351,"Bijou Telephone Co-Op Association, Inc."
130127,DSL,0,44777,Birch Communications Inc.
