HocoNum,HighSpeed,population
130002,0,36838
130005,0,93
130008,0,76069
130008,1,41844
130010,0,82610
130011,0,335
130012,0,81200
130012,1,30816
130017,0,347
130018,0,48291
130019,0,768175
130019,1,102445
130028,0,285991
130029,0,14375
130031,1,9650
130032,0,11299
130034,0,40345
130035,0,8728
130036,0,3318
130037,0,38333
130039,0,42570
130040,0,31994
130043,0,728
130044,0,38382
130045,0,13956
130046,0,1916
130057,0,35773
130058,0,12391
130059,0,452737
130061,0,8345
130062,0,405584
130065,0,78322
130066,0,5324
130067,0,8139
130068,0,30689
130069,0,14898
130070,0,11566
130071,0,27131
130071,1,930524
130073,0,3381
130074,0,196373
130074,1,27242
130077,0,121588802
130077,1,1719607
130079,0,106520
130079,1,4983184
130081,0,353989
130081,1,732
130082,0,55858
130082,1,10847
130083,0,2127
130084,0,1191
130086,0,46327
130087,0,2506
130090,0,8903
130092,0,1995
130093,0,30328
130094,0,12918
130095,0,17558
130096,0,2604
130097,0,130720
130098,0,96232
130103,0,84183
130104,0,17437
130105,0,2003
130106,0,97
130106,1,3323
130107,0,5109
130108,1,29276
130112,0,38302
130112,1,64597
130114,0,19936
130115,0,27957
130116,0,3035904
130118,0,2101
130119,0,1032
130120,0,9957
130122,0,238304
130122,1,3041
130123,0,42253
130124,0,40212
130126,0,23535
130127,0,189148
130130,0,28344
130130,1,6032
130132,0,48760
130133,0,404
130133,1,1129
130134,0,3792
130136,0,30555
130137,0,259493
130137,1,549123
130138,0,632
130138,1,6559
130139,0,1621
130140,0,16033
130141,0,3469
130142,0,35750
130142,1,14516
130144,0,18078
130146,0,738224
130148,0,3504
130149,0,35180
130150,0,148066
130151,1,17285
130152,0,12564
130153,0,10298
130154,0,6830
130154,1,12660
130159,0,1101604
130159,1,7339050
130160,0,1739
130161,0,284110
130168,0,8136
130169,0,5493
130170,0,3115
130171,0,439
130175,0,69471
130176,0,70217
130178,0,234
130179,0,9605
130183,0,6987
130183,1,3218637
130184,0,22947
130189,0,10797
130192,0,5644
130193,0,9699
130195,0,3072
130196,0,10579
130196,1,18726
130199,0,8361
130201,0,3055
130202,0,49434
130203,0,2325
130204,0,3902
130206,0,37529
130207,0,1584
130208,0,61588
130210,0,2615
130218,0,934
130218,1,40819
130223,0,1114
130224,0,8747
130224,1,0
130226,0,19751
130227,0,367109
130228,0,46007234
130228,1,2627587
130233,0,2279
130234,0,71446
130234,1,15621
130235,0,24843156
130235,1,2641276
130237,0,16145
130238,0,8521
130239,0,6889
130239,1,10639
130240,0,16345
130241,0,15057
130242,0,116559
130243,0,5779
130244,0,69456
130245,0,70349
130250,0,4717
130251,0,6
130252,0,22421
130254,0,1024297
130254,1,944181
130258,0,17105532
130258,1,2553641
130259,0,8697
130263,0,15912
130264,0,273
130264,1,19154
130265,0,14934
130266,0,27771
130267,0,5380
130268,0,5639
130269,0,11330
130270,0,4526
130271,0,21994
130272,0,8973
130274,0,422
130275,0,13459
130278,0,29309
130279,0,22403
130281,0,29702
130282,0,25738
130283,0,4851
130285,0,4734
130287,0,654
130288,1,34831
130289,0,12659
130290,0,4547
130290,1,5761
130291,0,6199
130292,0,299558
130299,0,6615
130300,0,3285
130300,1,20540
130302,0,9040
130303,0,7433
130305,1,2430
130307,0,9400
130309,0,117435
130309,1,641
130310,0,3861
130311,0,36241
130312,0,3296
130314,0,8980
130315,0,59229
130316,0,269895
130317,1,108747892
130321,0,7472
130322,1,584
130324,0,4589
130325,0,3751
130326,0,8002
130327,0,3634
130329,0,50929
130329,1,0
130331,0,225717
130334,0,91709
130335,0,1419789
130335,1,171309
130337,0,36610
130338,0,25662
130338,1,25995
130340,0,60799
130343,0,6358
130344,0,5156
130345,0,5830
130346,0,5487
130347,0,3248
130349,0,6569
130352,0,2109
130353,0,3181
130360,0,17198
130360,1,20762934
130361,0,5209
130362,0,17793
130363,0,3602
130363,1,6605
130364,0,39363
130366,0,21768
130367,0,2772
130368,0,802
130369,0,6677
130370,1,12213255
130374,0,6180
130375,0,7861
130378,0,9066
130380,0,11258
130385,0,35398
130385,1,45246
130386,0,27068
130387,0,24817
130390,0,5210
130390,1,12050
130391,0,13607
130393,0,15064
130395,0,9323
130396,0,51294
130398,0,6085
130399,0,7843
130400,0,14746
130401,0,31950
130402,0,799
130405,0,18473
130405,1,19276
130416,0,17131
130419,0,159
130419,1,2555
130420,0,4877
130421,0,2573
130423,0,33301
130425,0,34569
130427,0,155843
130429,0,74704
130431,0,485
130432,0,21801
130432,1,123170
130433,0,3265
