HocoNum,HighSpeed,population,state
130068,0,23002,AL
130077,0,2864166,AL
130077,1,175812,AL
130127,0,504,AL
130137,0,3099,AL
130183,1,110051,AL
130210,0,2615,AL
130228,0,663500,AL
130235,0,614137,AL
130235,1,1586221,AL
130258,0,53133,AL
130317,1,835560,AL
130471,0,4449,AL
130587,0,595257,AL
130597,0,26684,AL
130804,1,473162,AL
130844,0,16157,AL
130851,0,4544,AL
130861,0,5629,AL
130902,0,17003,AL
131038,0,12367,AL
131086,0,3216,AL
131310,0,56652,AL
131311,0,15907,AL
131404,0,50867,AL
131413,0,79012,AL
131480,0,69363,AL
131480,1,564501,AL
150221,0,592,AL
150292,0,10970,AL
150296,0,65015,AL
160157,0,12629,AL
170086,0,24105,AL
190308,0,83932,AL
190341,0,13178,AL
190367,0,38382,AL
190380,0,14718,AL
190380,1,108671,AL
230029,0,19884,AL
240085,0,14570,AL
250020,0,11388,AL
250035,0,1820,AL
250035,1,478,AL
250087,0,1242,AL
260000,0,24070,AL
260000,1,61498,AL
290028,1,23112,AL
300164,0,26,AL
310035,0,270,AL
310040,0,6,AL
320042,0,44954,AL
320052,0,1167,AL
320094,0,2928,AL
320121,0,14871,AL
330084,0,132449,AL
340087,0,44194,AL
350060,0,53223,AL
350067,0,49356,AL
350079,0,3346,AL
130011,0,335,AK
130028,0,310429,AK
130029,0,14375,AK
130035,1,0,AK
130067,0,8139,AK
130077,0,386,AK
130160,0,1739,AK
130275,0,136,AK
130275,1,13323,AK
130349,0,6685,AK
130352,0,2109,AK
130534,0,48141,AK
130534,1,534452,AK
130791,0,105355,AK
130791,1,19893,AK
130964,0,2381,AK
131226,0,20778,AK
140084,0,12283,AK
150229,0,1539,AK
190019,0,73799,AK
190281,0,3633,AK
260068,0,731,AK
260068,1,0,AK
300020,0,189294,AK
300164,0,2,AK
330010,0,423,AK
330010,1,2,AK
330083,0,510,AK
340079,0,2239,AK
350036,0,1676,AK
350037,0,81,AK
130081,0,95781,AZ
130103,0,66189,AZ
130132,0,83,AZ
130183,1,238949,AZ
130206,0,3031,AZ
130228,0,5075506,AZ
130228,1,290310,AZ
130235,1,164301,AZ
130258,0,309315,AZ
130317,1,332748,AZ
130360,0,22710,AZ
130360,1,4184248,AZ
130370,0,25384,AZ
130370,1,256462,AZ
130509,0,5513,AZ
130542,0,7298,AZ
130804,1,145394,AZ
130831,0,7806,AZ
131016,0,1514437,AZ
131057,0,10666,AZ
131148,0,6199,AZ
131167,0,70027,AZ
131191,0,1010864,AZ
131208,0,13004,AZ
131219,0,9968,AZ
131310,0,9358,AZ
131310,1,33,AZ
