HocoNum,HighSpeed,population
130002,0,37338
130005,0,93
130008,0,74775
130008,1,43138
130010,0,87836
130011,0,335
130012,0,32348
130012,1,44757
130017,0,385
130018,0,48291
130019,0,443184
130019,1,214740
130028,0,317883
130029,0,14375
130031,1,9650
130032,0,5364
130032,1,5935
130034,0,41155
130035,1,9183
130036,0,3276
130037,0,11883
130037,1,28879
130039,0,42570
130040,0,35185
130043,0,741
130044,0,38382
130045,0,11958
130046,0,1916
130057,0,35400
130057,1,373
130058,0,1703
130058,1,12620
130059,0,442426
130059,1,511
130061,0,9296
130062,0,404018
130065,0,78322
130066,0,6477
130067,0,8139
130068,0,30811
130068,1,51571
130069,0,14839
130070,0,202
130070,1,11458
130071,0,26473
130071,1,976086
130073,0,3494
130074,0,198067
130074,1,31140
130077,0,107561541
130077,1,15242720
130079,0,8462
130079,1,5369875
130081,0,127554
130082,0,18447
130082,1,61271
130083,0,2095
130084,0,1191
130086,0,45633
130087,0,2747
130090,0,8176
130090,1,766
130092,0,3011
130093,0,30328
130094,0,12918
130095,0,18019
130096,0,2610
130097,0,130720
130098,0,126663
130098,1,10530
130103,0,76875
130104,0,18024
130105,0,23496
130106,0,8788
130106,1,3331
130107,0,5128
130108,1,27322
130112,0,111145
130112,1,8712
130114,0,19967
130115,0,27427
130116,0,3044470
130118,0,2101
130119,0,1032
130120,0,11236
130122,0,257204
130122,1,2289
130123,0,39240
130123,1,3154
130124,0,34566
130126,0,23550
130127,0,127478
130130,0,24568
130130,1,8746
130132,0,79000
130132,1,4564
130133,0,33342
130133,1,4316
130134,0,3798
130136,0,22252
130136,1,8303
130137,0,260840
130137,1,549568
130138,1,7185
130139,0,3840
130140,0,16033
130141,0,4058
130142,0,34572
130142,1,15694
130144,0,18084
130146,0,735574
130148,0,3504
130149,1,33875
130150,0,60062
130150,1,88004
130151,1,17591
130152,0,16367
130152,1,420
130153,0,10297
130154,0,6093
130154,1,12660
130160,0,1739
130161,0,50810
130168,0,8136
130169,0,6107
130170,0,3115
130171,0,1316
130175,0,69471
130176,1,69736
130178,0,234
130179,0,10048
130183,1,3298758
130184,0,22947
130189,0,10814
130192,0,5841
130192,1,2
130193,0,15150
130195,0,3072
130196,0,16587
130196,1,12559
130199,0,7414
130201,0,1225
130201,1,1830
130202,0,36930
130203,0,2325
130204,0,1063
130204,1,2844
130206,0,37489
130207,1,992
130208,0,61588
130210,0,2615
130218,0,870
130218,1,40971
130223,0,1108
130224,0,8747
130224,1,0
130226,0,19773
130227,0,487052
130228,0,41552174
130228,1,7381252
130233,0,2279
130234,0,269949
130234,1,18649
130235,0,29888597
130235,1,72128365
130237,0,16453
130238,0,8521
130239,0,6084
130239,1,11444
130240,0,16345
130241,0,15569
130242,0,119152
130243,0,5779
130244,0,25489
130244,1,4372
130245,0,70393
130245,1,94
130250,0,4719
130252,0,22079
130254,0,632743
130254,1,1281239
130258,0,33682744
130259,0,1992
130259,1,6746
130263,0,15912
130264,1,13927
130265,0,15089
130266,0,27999
130267,1,5380
130268,0,5608
130269,0,11845
130270,0,4526
130271,1,21994
130272,0,8973
130274,0,422
130275,0,136
130275,1,12995
130278,0,27067
130278,1,2242
130279,0,105522
130281,0,29702
130282,0,25738
