HocoNum,HighSpeed,population,state
130068,0,23165,AL
130077,0,2573961,AL
130077,1,594868,AL
130137,1,3114,AL
130183,1,112084,AL
130210,0,2615,AL
130228,0,681374,AL
130228,1,89,AL
130235,0,9684,AL
130235,1,2217243,AL
130258,0,50870,AL
130317,1,838325,AL
130335,0,4448,AL
130587,0,595257,AL
130597,0,26684,AL
130804,0,11098,AL
130804,1,652931,AL
130844,0,15802,AL
130851,0,4811,AL
130861,0,5629,AL
130902,1,17003,AL
131038,0,12252,AL
131086,0,3216,AL
131302,1,41533,AL
131310,0,57636,AL
131310,1,1021,AL
131311,0,15907,AL
131404,0,41096,AL
131404,1,0,AL
131413,0,74925,AL
131413,1,9597,AL
131480,0,69172,AL
131480,1,564618,AL
150221,0,1759,AL
150292,0,13099,AL
150296,0,65338,AL
160157,0,11752,AL
160157,1,37,AL
190123,0,12,AL
190308,1,83932,AL
190341,0,1542,AL
190367,0,38382,AL
190380,0,15421,AL
190380,1,127050,AL
240041,1,83093,AL
240085,0,14570,AL
250020,0,13873,AL
250035,0,1220,AL
250035,1,736,AL
260000,0,13579,AL
260000,1,80792,AL
290028,1,26401,AL
310035,0,13801,AL
320042,0,44954,AL
320094,0,2928,AL
330084,0,132449,AL
350060,0,54458,AL
350067,0,49356,AL
350079,0,5076,AL
360002,0,1615,AL
370016,0,8154,AL
370089,0,6986,AL
370150,0,12386,AL
380093,1,22332,AL
130011,0,80,AK
130028,0,286173,AK
130029,0,14375,AK
130035,1,0,AK
130067,0,8139,AK
130077,0,208,AK
130160,0,1739,AK
130275,0,136,AK
130275,1,12995,AK
130349,0,6467,AK
130352,0,2145,AK
130534,0,48882,AK
130534,1,535042,AK
130791,0,173415,AK
130791,1,25650,AK
130964,0,2381,AK
131226,0,20778,AK
140084,0,27048,AK
150229,0,1539,AK
190281,0,3635,AK
260068,0,192,AK
300020,0,275446,AK
330010,0,423,AK
330010,1,2,AK
330083,0,510,AK
340079,0,2315,AK
350036,0,2290,AK
350037,0,81,AK
360064,0,1027,AK
360064,1,4376,AK
130081,0,159989,AZ
130103,0,46686,AZ
130132,0,83,AZ
130183,1,242486,AZ
130206,0,3031,AZ
130228,0,3905881,AZ
130228,1,1505682,AZ
130235,1,178532,AZ
130258,0,309548,AZ
130317,1,333848,AZ
130360,0,22810,AZ
130360,1,4205496,AZ
130370,0,7563,AZ
130370,1,290997,AZ
130509,0,1309,AZ
130542,0,18710,AZ
130804,0,7471,AZ
130804,1,175727,AZ
130831,0,5513,AZ
131016,0,1541506,AZ
131043,0,1608,AZ
131043,1,8042,AZ
131057,0,11363,AZ
131057,1,50,AZ
131148,0,6286,AZ
131167,1,68498,AZ
131191,0,1010864,AZ
131208,0,15000,AZ
131219,0,2100,AZ
131219,1,7868,AZ
131310,0,10998,AZ
131310,1,266,AZ
131357,0,5528,AZ
131411,0,17161,AZ
131411,1,17482,AZ
140043,0,9596,AZ
170054,0,2059,AZ
190008,0,824,AZ
190008,1,1244,AZ
190155,0,327,AZ
190192,0,23,AZ
190428,0,9983,AZ
220002,0,74,AZ
220013,0,17283,AZ
230021,0,114,AZ
240009,0,175072,AZ
250009,0,297047,AZ
260050,0,60720,AZ
270101,0,54955,AZ
270115,0,4056,AZ
280035,0,29513,AZ
290050,0,458,AZ
290057,0,11251,AZ
290083,0,6522,AZ
300019,0,41850,AZ
300063,0,3560311,AZ
300069,0,266,AZ
310015,1,2128,AZ
310084,0,7449,AZ
320051,0,21697,AZ
330004,0,11311,AZ
330045,0,6288,AZ
340015,0,159,AZ
340031,0,3651,AZ
350046,0,6473,AZ
350105,1,37159,AZ
360022,0,30967,AZ
360061,0,0,AZ
370028,1,1971,AZ
370138,0,0,AZ
370151,1,237,AZ
380049,0,14,AZ
380139,0,9,AZ
130069,0,14839,AR
130070,1,11660,AR
130077,0,1512316,AR
130077,1,149375,AR
130124,0,22,AR
