,STATE,Broadband Initiative,Federal,Percent,state,Population_covered_by_new_ISP,Number_OF_NEW_ISP,Broadband Initiative scale,Population_change
0,Alabama,4874142.0,91596026.0,2.6,AL,22332.0,1.0,0.45015345066427404,974353.0
1,Alaska,6378198.0,0.0,0.0,AK,425.0,2.0,0.6543817422360156,19791.0
2,Arizona,6358179.0,0.0,0.0,AZ,225.0,1.0,0.6516634616873028,577284.0
3,Arkansas,6175366.0,102131393.0,2.9,AR,81843.0,5.0,0.6268401926952542,247841.0
4,California,7981304.0,350064330.0,10.0,CA,628092.0,15.0,0.8720595411932408,4914712.0
5,Colorado,5382082.0,112772612.0,3.2,CO,42594.0,11.0,0.5191240996434013,802419.0
6,Connecticut,3782938.0,93855029.0,2.7,0,0.0,0.0,0.30198428098159547,
7,Delaware,3080450.0,0.0,0.0,0,0.0,0.0,0.2065969256639413,
8,Florida,8877028.0,55902591.0,1.6,FL,3154.0,3.0,0.9936854528878898,3970790.0
9,Georgia,5229940.0,69687765.0,2.0,GA,405504.0,4.0,0.49846549335726054,3382744.0
10,Guam,1558950.0,8039792.0,0.2,0,0.0,0.0,0.0,
11,Idaho,4486214.0,8169716.0,0.2,ID,4113.0,3.0,0.3974786349041942,114901.0
12,Illinois,6554641.0,173923501.0,5.0,IL,109733.0,5.0,0.6783400605764184,1047956.0
13,Indiana,3294766.0,39397487.0,1.1,IN,72466.0,3.0,0.23569783050823526,1014603.0
14,Iowa,5769942.0,33945037.0,1.0,IA,53996.0,5.0,0.5717896820213286,297262.0
15,Kansas,6371514.0,998419.0,0.0,KS,0.0,1.0,0.6534741550844299,338779.0
16,Kentucky,5302717.0,535308.0,0.0,KY,12399.0,4.0,0.5083475206060575,784376.0
17,Louisana,6649679.0,89759799.0,2.6,0,0.0,0.0,0.6912447984148999,
18,Maine,4978492.0,25402904.0,0.7,ME,11811.0,1.0,0.4643226187175321,-84048.0
19,Maryland,4755768.0,115240581.0,3.3,MD,17881.0,5.0,0.43408003332707823,127378.0
20,Massachusetts,6162554.0,77517537.0,2.2,MA,23256.0,3.0,0.6251005148696831,36369.0
21,Michigan,4755684.0,108574985.0,3.1,MI,26457.0,4.0,0.4340686273844191,560540.0
22,Minnesota,4470035.0,36200630.0,1.0,MN,22337.0,5.0,0.3952817688770388,937970.0
23,Mississippi,7011691.0,102364489.0,2.9,MS,863.0,1.0,0.7404006092945941,1151598.0
24,Missouri,6573382.0,71745250.0,2.1,MO,214673.0,7.0,0.6808848078546753,1050229.0
25,Montana,6084826.0,13796640.0,0.4,0,0.0,0.0,0.6145462159291594,
26,Nebraska,5662785.0,11547866.0,0.3,NE,5762.0,5.0,0.5572393653842133,180640.0
27,Nevada,3993441.0,26713723.0,0.8,NV,3504.0,3.0,0.3305674375001867,693220.0
28,New Hampshire,6113338.0,44480992.0,1.3,0,0.0,0.0,0.6184177187517228,
29,New Jersey,4926106.0,39638152.0,1.1,NJ,683.0,3.0,0.45720938404922373,652894.0
30,New Mexico,4762287.0,76978670.0,2.2,NM,1170.0,2.0,0.43496521594844084,110375.0
31,New York,8923532.0,38938988.0,1.1,NY,111583.0,5.0,1.0,1419192.0
32,North Carolina,6610996.0,120685297.0,3.5,NC,16317.0,3.0,0.6859922260353677,2359798.0
33,North Dakota,3664087.0,10781157.0,0.3,0,0.0,0.0,0.28584609418429996,
34,Ohio,7025762.0,141300142.0,4.1,OH,11365.0,3.0,0.7423112404750195,1314968.0
35,Oklahoma,3815185.0,83470346.0,2.4,OK,59388.0,4.0,0.30636294089739247,506233.0
36,Oregon,5658302.0,20548476.0,0.6,OR,2162.0,3.0,0.5566306410873014,743461.0
37,Pennsylvania,7356301.0,128444692.0,3.7,PA,51926.0,4.0,0.7871934890534181,766852.0
38,Rhode Island,4544787.0,21739183.0,0.6,0,0.0,0.0,0.40543197156335553,
39,South Carolina,3979832.0,9604840.0,0.3,SC,76486.0,2.0,0.3287195390043861,932895.0
40,South Dakota,5729415.0,20572242.0,0.6,SD,15324.0,1.0,0.5662867220434236,80261.0
41,Tennessee,4479620.0,15865636.0,0.5,TN,125976.0,11.0,0.39658326840545743,1360527.0
42,Texas,8026000.0,67698503.0,1.9,TX,69247.0,5.0,0.8781285889681181,5198591.0
43,Utah,5196025.0,31048683.0,0.9,0,0.0,0.0,0.4938603440086621,
44,Vermont,3542996.0,45649894.0,1.3,VT,22003.0,2.0,0.269403748916096,36112.0
45,Virgin Islands,3009506.0,58888469.0,1.7,0,0.0,0.0,0.19696379237816894,
46,Virginia,8099979.0,92995941.0,2.7,VA,89464.0,8.0,0.8881738298249651,403850.0
47,Washington,7314042.0,166058182.0,4.8,WA,60724.0,7.0,0.7814553494006856,1155314.0
48,West Virginia,4749181.0,129525056.0,3.7,WV,12000.0,3.0,0.433185617323563,15668.0
49,Wisconsin,4540152.0,57969654.0,1.7,WI,461.0,4.0,0.40480260794163203,489456.0
50,Wyoming,4153833.0,10671802.0,0.3,0,0.0,0.0,0.352346270297486,
