,county,up18_fiber,up18_cable,up18_DSL,up18_total,down14_fiber,down14_cable,down14_DSL,down14_total,up15_fiber,up15_cable,up15_DSL,up15_total,down15_fiber,down15_cable,down15_DSL,down15_total,up16_fiber,up16_cable,up16_DSL,up16_total,down16_fiber,down16_cable,down16_DSL,down16_total,up17_fiber,up17_cable,up17_DSL,up17_total,down17_fiber,down17_cable,down17_DSL,down17_total,2018_FIBER_YES,state_code,POP10,num_blocks,StateAbbr,countystate,Q3 2018 Price
0,24001,0.0,5.0,2.0,7.0,0.0,2.0,5.0,8.0,0.0,2.0,5.0,8.0,0.0,2.0,7.0,10.0,0.0,3.0,8.0,12.0,0.0,2.0,8.0,11.0,0.0,3.0,7.0,11.0,0.0,4.0,6.0,11.0,0,24,69304.0,2790,MD,24001,113677.0
1,24003,4.0,2.0,1.0,9.0,2.0,2.0,6.0,10.0,2.0,2.0,4.0,9.0,2.0,2.0,6.0,11.0,2.0,2.0,6.0,12.0,2.0,2.0,5.0,11.0,2.0,3.0,4.0,11.0,3.0,2.0,2.0,10.0,1,24,525715.0,6250,MD,24003,375376.0
2,24005,2.0,1.0,3.0,13.0,1.0,1.0,6.0,10.0,1.0,1.0,4.0,9.0,1.0,1.0,6.0,12.0,1.0,1.0,7.0,14.0,1.0,1.0,5.0,12.0,1.0,2.0,5.0,13.0,3.0,1.0,4.0,13.0,1,24,789354.0,10634,MD,24005,270641.0
3,24009,0.0,1.0,2.0,4.0,0.0,1.0,3.0,4.0,0.0,1.0,2.0,3.0,0.0,1.0,2.0,3.0,0.0,1.0,2.0,4.0,0.0,1.0,2.0,4.0,0.0,2.0,2.0,5.0,0.0,1.0,2.0,4.0,0,24,86140.0,1508,MD,24009,377143.0
4,24011,0.0,2.0,1.0,5.0,0.0,2.0,3.0,5.0,0.0,2.0,1.0,3.0,0.0,2.0,3.0,5.0,0.0,2.0,2.0,5.0,0.0,2.0,2.0,5.0,0.0,3.0,2.0,6.0,0.0,2.0,2.0,5.0,0,24,28867.0,1167,MD,24011,212183.0
5,24013,3.0,1.0,3.0,11.0,1.0,1.0,7.0,11.0,1.0,1.0,6.0,11.0,1.0,1.0,5.0,10.0,2.0,1.0,6.0,12.0,2.0,1.0,5.0,11.0,3.0,2.0,5.0,13.0,3.0,1.0,4.0,12.0,1,24,163618.0,2848,MD,24013,350885.0
6,24015,0.0,3.0,2.0,7.0,0.0,3.0,5.0,8.0,0.0,3.0,2.0,5.0,0.0,3.0,3.0,7.0,0.0,3.0,3.0,8.0,0.0,3.0,3.0,7.0,0.0,4.0,3.0,8.0,0.0,4.0,3.0,8.0,0,24,98550.0,2293,MD,24015,253944.0
7,24017,2.0,1.0,1.0,5.0,1.0,1.0,4.0,6.0,2.0,2.0,3.0,7.0,2.0,2.0,3.0,7.0,2.0,2.0,3.0,7.0,2.0,1.0,3.0,6.0,2.0,2.0,3.0,7.0,2.0,1.0,2.0,6.0,1,24,138665.0,2219,MD,24017,337455.0
8,24019,1.0,3.0,1.0,6.0,0.0,1.0,2.0,3.0,0.0,1.0,1.0,2.0,0.0,1.0,2.0,3.0,0.0,1.0,2.0,4.0,0.0,1.0,2.0,4.0,0.0,2.0,1.0,4.0,1.0,2.0,1.0,5.0,1,24,28543.0,1262,MD,24019,189088.0
9,24021,2.0,4.0,1.0,10.0,1.0,2.0,7.0,13.0,1.0,2.0,5.0,11.0,1.0,2.0,4.0,10.0,1.0,3.0,6.0,13.0,1.0,3.0,6.0,13.0,1.0,4.0,3.0,11.0,1.0,4.0,2.0,10.0,1,24,223897.0,4208,MD,24021,354540.0
10,24023,2.0,3.0,1.0,7.0,2.0,3.0,3.0,8.0,2.0,3.0,2.0,7.0,2.0,3.0,5.0,10.0,2.0,3.0,5.0,11.0,2.0,3.0,5.0,11.0,2.0,4.0,4.0,11.0,2.0,4.0,4.0,11.0,1,24,26402.0,1406,MD,24023,176222.0
